01-01-2022, -4, 743, Ю 1м/с, -3, 740, Ю 1м/с
01-05-2022, +8, 752, СЗ 3м/с, +6, 754, СЗ 3м/с
02-05-2022, +13, 753, ЮЗ 2м/с, +9, 752, ЮЗ 2м/с
03-05-2022, +17, 749, З 2м/с, +13, 749, З 2м/с
04-05-2022, +19, 745, ЮЗ 3м/с, +13, 746, ЮЗ 3м/с
05-05-2022, +7, 750, СЗ 3м/с, +4, 755, СЗ 3м/с
06-05-2022, +11, 759, СЗ 2м/с, +9, 761, СЗ 2м/с
07-05-2022, +15, 761, ЮЗ 1м/с, +8, 760, ЮЗ 1м/с
08-05-2022, +18, 756, ЮЗ 1м/с, +11, 755, ЮЗ 1м/с
09-05-2022, +19, 748, В 2м/с, +17, 745, В 2м/с
10-05-2022, +9, 737, СЗ 2м/с, +8, 737, СЗ 2м/с
11-05-2022, +12, 745, Ю 3м/с, +7, 745, Ю 3м/с
12-05-2022, +10, 740, СЗ 2м/с, +8, 741, СЗ 2м/с
13-05-2022, +16, 738, З 2м/с, +11, 741, З 2м/с
14-05-2022, +17, 742, ЮЗ 2м/с, +15, 742, ЮЗ 2м/с
15-05-2022, +16, 740, ЮЗ 2м/с, +11, 739, ЮЗ 2м/с
16-05-2022, +17, 739, З 2м/с, +13, 740, З 2м/с
17-05-2022, +14, 740, З 2м/с, +11, 740, З 2м/с
18-05-2022, +11, 740, З 2м/с, +10, 743, З 2м/с
19-05-2022, +12, 745, З 2м/с, +7, 746, З 2м/с
20-05-2022, +12, 743, С 1м/с, +8, 743, С 1м/с
21-05-2022, +10, 743, СЗ 4м/с, +7, 743, СЗ 4м/с
22-05-2022, +14, 737, З 2м/с, +11, 737, З 2м/с
23-05-2022, +13, 737, ЮЗ 2м/с, +11, 740, ЮЗ 2м/с
24-05-2022, +16, 742, ЮЗ 3м/с, +13, 743, ЮЗ 3м/с
25-05-2022, +11, 746, З 2м/с, +7, 748, З 2м/с
26-05-2022, +16, 748, ЮЗ 3м/с, +12, 747, ЮЗ 3м/с
27-05-2022, +19, 740, ЮЗ 2м/с, +13, 741, ЮЗ 2м/с
28-05-2022, +19, 743, Ю 1м/с, +15, 744, Ю 1м/с
29-05-2022, +19, 751, ЮЗ 2м/с, +14, 752, ЮЗ 2м/с
30-05-2022, +21, 753, С 1м/с, +14, 754, С 1м/с
31-05-2022, +23, 755, СЗ 2м/с, +19, 754, СЗ 2м/с
01-06-2022, +23, 755, СВ 2м/с, +17, 756, СВ 2м/с
02-06-2022, +25, 756, З 2м/с, +18, 755, З 2м/с
03-06-2022, +27, 753, ЮЗ 2м/с, +20, 752, ЮЗ 2м/с
04-06-2022, +19, 750, Ш, +18, 749, Ш
05-06-2022, +24, 748, Ю 1м/с, +20, 747, Ю 1м/с
06-06-2022, +16, 742, СВ 2м/с, +14, 739, СВ 2м/с
07-06-2022, +15, 741, З 4м/с, +14, 742, З 4м/с
08-06-2022, +12, 743, З 3м/с, +12, 743, З 3м/с
09-06-2022, +17, 744, СЗ 2м/с, +16, 745, СЗ 2м/с
10-06-2022, +26, 745, СЗ 2м/с, +19, 745, СЗ 2м/с
11-06-2022, +25, 745, С 2м/с, +20, 745, С 2м/с
12-06-2022, +19, 746, СЗ 2м/с, +14, 746, СЗ 2м/с
13-06-2022, +21, 748, З 2м/с, +16, 748, З 2м/с
14-06-2022, +26, 749, З 2м/с, +19, 749, З 2м/с
15-06-2022, +28, 749, З 2м/с, +22, 748, З 2м/с
16-06-2022, +25, 747, В 1м/с, +23, 747, В 1м/с
17-06-2022, +23, 746, СЗ 1м/с, +18, 746, СЗ 1м/с
18-06-2022, +25, 746, ЮЗ 2м/с, +20, 746, ЮЗ 2м/с
19-06-2022, +23, 746, СЗ 2м/с, +17, 746, СЗ 2м/с
20-06-2022, +21, 740, З 3м/с, +15, 740, З 3м/с
21-06-2022, +22, 740, ЮЗ 3м/с, +18, 739, ЮЗ 3м/с
22-06-2022, +28, 737, З 2м/с, +23, 737, З 2м/с
23-06-2022, +24, 743, С 2м/с, +20, 743, С 2м/с
24-06-2022, +23, 743, СВ 3м/с, +19, 744, СВ 3м/с
25-06-2022, +27, 746, СЗ 3м/с, +23, 746, СЗ 3м/с
26-06-2022, +23, 749, СЗ 3м/с, +19, 750, СЗ 3м/с
27-06-2022, +26, 749, З 3м/с, +23, 747, З 3м/с
28-06-2022, +19, 749, С 2м/с, +15, 750, С 2м/с
29-06-2022, +17, 750, С 1м/с, +16, 749, С 1м/с
30-06-2022, +22, 745, З 3м/с, +17, 745, З 3м/с
01-07-2022, +15, 745, В 1м/с, +15, 746, В 1м/с
02-07-2022, +25, 746, СВ 3м/с, +20, 746, СВ 3м/с
03-07-2022, +21, 744, СВ 3м/с, +16, 744, СВ 3м/с
04-07-2022, +21, 744, С 2м/с, +16, 746, С 2м/с
05-07-2022, +20, 749, С 2м/с, +17, 750, С 2м/с
06-07-2022, +25, 750, З 3м/с, +17, 750, З 3м/с
07-07-2022, +29, 750, З 2м/с, +21, 750, З 2м/с
08-07-2022, +30, 751, Ю 1м/с, +25, 751, Ю 1м/с
09-07-2022, +30, 749, СЗ 2м/с, +25, 749, СЗ 2м/с
10-07-2022, +31, 749, СВ 1м/с, +26, 750, СВ 1м/с
11-07-2022, +32, 751, В 2м/с, +27, 751, В 2м/с
12-07-2022, +27, 753, ЮЗ 3м/с, +24, 752, ЮЗ 3м/с
13-07-2022, +31, 750, В 2м/с, +28, 748, В 2м/с
14-07-2022, +27, 745, В 3м/с, +23, 741, В 3м/с
15-07-2022, +25, 743, З 4м/с, +22, 746, З 4м/с
16-07-2022, +27, 749, ЮЗ 2м/с, +22, 749, ЮЗ 2м/с
17-07-2022, +28, 749, З 2м/с, +25, 749, З 2м/с
18-07-2022, +31, 746, В 3м/с, +21, 744, В 3м/с
19-07-2022, +23, 747, ЮЗ 3м/с, +20, 748, ЮЗ 3м/с
20-07-2022, +22, 746, ЮЗ 2м/с, +18, 745, ЮЗ 2м/с
21-07-2022, +26, 743, В 3м/с, +23, 743, В 3м/с
22-07-2022, +26, 745, В 1м/с, +22, 745, В 1м/с
23-07-2022, +26, 746, СЗ 1м/с, +24, 745, СЗ 1м/с
24-07-2022, +30, 743, СВ 2м/с, +22, 743, СВ 2м/с
25-07-2022, +19, 742, ЮЗ 1м/с, +20, 743, ЮЗ 1м/с
26-07-2022, +28, 743, З 2м/с, +23, 743, З 2м/с
27-07-2022, +30, 746, СЗ 3м/с, +25, 747, СЗ 3м/с
28-07-2022, +29, 748, СЗ 3м/с, +24, 749, СЗ 3м/с
29-07-2022, +27, 749, СВ 2м/с, +23, 749, СВ 2м/с
30-07-2022, +28, 749, З 2м/с, +24, 749, З 2м/с
31-07-2022, +26, 749, СЗ 2м/с, +22, 748, СЗ 2м/с
01-08-2022, +28, 748, СЗ 2м/с, +23, 749, СЗ 2м/с
02-08-2022, +27, 749, С 2м/с, +24, 749, С 2м/с
03-08-2022, +28, 751, С 2м/с, +25, 752, С 2м/с
04-08-2022, +30, 753, СВ 1м/с, +24, 753, СВ 1м/с
05-08-2022, +31, 754, СЗ 1м/с, +24, 754, СЗ 1м/с
06-08-2022, +30, 754, В 2м/с, +23, 753, В 2м/с
07-08-2022, +31, 752, З 2м/с, +23, 752, З 2м/с
08-08-2022, +32, 752, С 2м/с, +25, 752, С 2м/с
09-08-2022, +30, 752, С 1м/с, +22, 752, С 1м/с
10-08-2022, +32, 751, З 2м/с, +26, 752, З 2м/с
11-08-2022, +29, 753, С 2м/с, +23, 754, С 2м/с
12-08-2022, +27, 755, З 2м/с, +20, 755, З 2м/с
13-08-2022, +29, 752, СЗ 2м/с, +24, 752, СЗ 2м/с
14-08-2022, +29, 752, С 1м/с, +23, 753, С 1м/с
15-08-2022, +27, 754, СВ 3м/с, +23, 754, СВ 3м/с
16-08-2022, +28, 755, СВ 3м/с, +24, 755, СВ 3м/с
17-08-2022, +29, 753, В 2м/с, +25, 752, В 2м/с
18-08-2022, +27, 754, СВ 2м/с, +22, 754, СВ 2м/с
19-08-2022, +25, 760, В 3м/с, +19, 761, В 3м/с
20-08-2022, +26, 761, В 2м/с, +17, 760, В 2м/с
21-08-2022, +30, 758, СВ 3м/с, +26, 758, СВ 3м/с
22-08-2022, +30, 758, В 3м/с, +26, 758, В 3м/с
23-08-2022, +32, 760, В 1м/с, +25, 760, В 1м/с
24-08-2022, +32, 759, СВ 3м/с, +26, 759, СВ 3м/с
25-08-2022, +31, 757, СВ 2м/с, +26, 756, СВ 2м/с
26-08-2022, +32, 755, З 2м/с, +27, 755, З 2м/с
27-08-2022, +32, 755, В 1м/с, +27, 755, В 1м/с
28-08-2022, +32, 755, С 1м/с, +23, 754, С 1м/с
29-08-2022, +32, 753, В 2м/с, +26, 752, В 2м/с
30-08-2022, +34, 748, ЮЗ 3м/с, +27, 747, ЮЗ 3м/с
31-08-2022, +31, 745, З 1м/с, +29, 743, З 1м/с
01-09-2022, +25, 746, З 1м/с, +23, 744, З 1м/с
02-09-2022, +21, 748, З 3м/с, +15, 749, З 3м/с
03-09-2022, +17, 755, З 2м/с, +13, 755, З 2м/с
04-09-2022, +13, 752, С 1м/с, +9, 749, С 1м/с
05-09-2022, +14, 747, З 3м/с, +12, 748, З 3м/с
06-09-2022, +10, 745, В 1м/с, +9, 746, В 1м/с
07-09-2022, +14, 749, ЮЗ 3м/с, +12, 749, ЮЗ 3м/с
08-09-2022, +13, 749, ЮЗ 4м/с, +10, 749, ЮЗ 4м/с
09-09-2022, +13, 749, СЗ 3м/с, +9, 751, СЗ 3м/с
10-09-2022, +12, 754, СЗ 2м/с, +8, 755, СЗ 2м/с
11-09-2022, +13, 755, З 2м/с, +11, 755, З 2м/с
12-09-2022, +14, 755, В 2м/с, +12, 755, В 2м/с
13-09-2022, +18, 752, В 2м/с, +16, 752, В 2м/с
14-09-2022, +18, 748, В 2м/с, +12, 747, В 2м/с
15-09-2022, +16, 743, ЮВ 1м/с, +13, 743, ЮВ 1м/с
16-09-2022, +18, 743, Ю 1м/с, +14, 743, Ю 1м/с
17-09-2022, +20, 742, Ю 1м/с, +16, 744, Ю 1м/с
18-09-2022, +21, 748, В 2м/с, +19, 746, В 2м/с
19-09-2022, +27, 746, Ю 2м/с, +23, 747, Ю 2м/с
20-09-2022, +16, 751, З 1м/с, +15, 751, З 1м/с
21-09-2022, +17, 749, В 2м/с, +19, 749, В 2м/с
22-09-2022, +26, 748, В 1м/с, +20, 747, В 1м/с
23-09-2022, +24, 743, В 3м/с, +20, 743, В 3м/с
24-09-2022, +17, 745, ЮЗ 3м/с, +13, 746, ЮЗ 3м/с
25-09-2022, +11, 742, Ш, +10, 742, Ш
26-09-2022, +11, 746, З 2м/с, +9, 748, З 2м/с
27-09-2022, +13, 752, З 1м/с, +11, 752, З 1м/с
28-09-2022, +10, 748, В 4м/с, +10, 746, В 4м/с
29-09-2022, +12, 746, В 1м/с, +11, 748, В 1м/с
30-09-2022, +11, 755, СВ 1м/с, +9, 756, СВ 1м/с
