01-01-2020, -2, 738, ЮЗ 1м/с, -2, 740, ЮЗ 1м/с
01-02-2020, 0, 745, ЮЗ 1м/с, -1, 746, ЮЗ 1м/с
02-02-2020, -1, 745, В 2м/с, -1, 743, В 2м/с
03-02-2020, +1, 729, ЮЗ 3м/с, +2, 730, ЮЗ 3м/с
04-02-2020, 0, 730, З 3м/с, -1, 733, З 3м/с
05-02-2020, -2, 739, З 3м/с, -4, 742, З 3м/с
06-02-2020, -6, 743, З 2м/с, -9, 743, З 2м/с
07-02-2020, -7, 737, С 1м/с, -9, 740, С 1м/с
08-02-2020, -12, 746, СЗ 2м/с, -15, 750, СЗ 2м/с
09-02-2020, -12, 755, З 2м/с, -15, 756, З 2м/с
10-02-2020, -7, 749, ЮЗ 3м/с, -7, 749, ЮЗ 3м/с
11-02-2020, -5, 750, Ю 2м/с, -7, 751, Ю 2м/с
12-02-2020, -5, 751, Ю 1м/с, -8, 750, Ю 1м/с
13-02-2020, -5, 748, В 1м/с, -8, 747, В 1м/с
14-02-2020, -6, 750, С 1м/с, -8, 752, С 1м/с
15-02-2020, -5, 758, ЮЗ 1м/с, -7, 759, ЮЗ 1м/с
16-02-2020, -5, 764, В 1м/с, -5, 764, В 1м/с
17-02-2020, 0, 758, ЮЗ 2м/с, 0, 756, ЮЗ 2м/с
18-02-2020, +2, 752, ЮЗ 3м/с, +1, 752, ЮЗ 3м/с
19-02-2020, +1, 748, ЮЗ 2м/с, +1, 748, ЮЗ 2м/с
20-02-2020, +3, 752, З 1м/с, 0, 753, З 1м/с
21-02-2020, +3, 756, Ш, -4, 758, Ш
22-02-2020, -2, 761, В 2м/с, -5, 760, В 2м/с
23-02-2020, -2, 751, ЮВ 2м/с, -2, 746, ЮВ 2м/с
24-02-2020, +2, 740, ЮЗ 2м/с, +1, 742, ЮЗ 2м/с
25-02-2020, 0, 735, В 3м/с, +1, 734, В 3м/с
26-02-2020, +1, 742, З 3м/с, -1, 744, З 3м/с
27-02-2020, +3, 744, Ю 3м/с, +4, 743, Ю 3м/с
28-02-2020, +3, 744, В 2м/с, +3, 743, В 2м/с
29-02-2020, +4, 744, З 2м/с, +1, 747, З 2м/с
01-03-2020, +3, 752, З 3м/с, -3, 755, З 3м/с
02-03-2020, +5, 757, ЮЗ 3м/с, +3, 758, ЮЗ 3м/с
03-03-2020, +4, 757, Ю 2м/с, 0, 755, Ю 2м/с
04-03-2020, +1, 752, ЮВ 2м/с, +1, 753, ЮВ 2м/с
05-03-2020, +2, 760, В 3м/с, 0, 761, В 3м/с
06-03-2020, +1, 763, В 4м/с, -3, 762, В 4м/с
07-03-2020, +3, 761, Ю 2м/с, +2, 760, Ю 2м/с
08-03-2020, +3, 758, Ю 3м/с, +2, 758, Ю 3м/с
09-03-2020, +5, 755, ЮЗ 1м/с, +5, 755, ЮЗ 1м/с
10-03-2020, +8, 753, ЮВ 1м/с, +6, 752, ЮВ 1м/с
11-03-2020, +12, 747, ЮВ 3м/с, +9, 745, ЮВ 3м/с
12-03-2020, +10, 741, ЮЗ 2м/с, +6, 741, ЮЗ 2м/с
13-03-2020, +10, 738, ЮЗ 4м/с, +8, 737, ЮЗ 4м/с
14-03-2020, +1, 741, З 1м/с, 0, 740, З 1м/с
15-03-2020, +2, 742, Ю 1м/с, +1, 743, Ю 1м/с
16-03-2020, 0, 749, С 1м/с, +1, 753, С 1м/с
17-03-2020, +6, 755, З 3м/с, +4, 757, З 3м/с
18-03-2020, +10, 758, ЮЗ 3м/с, +6, 757, ЮЗ 3м/с
19-03-2020, +12, 748, ЮЗ 4м/с, +7, 746, ЮЗ 4м/с
20-03-2020, +4, 742, С 3м/с, +1, 743, С 3м/с
21-03-2020, 0, 748, З 2м/с, 0, 750, З 2м/с
22-03-2020, -3, 757, СВ 3м/с, -4, 757, СВ 3м/с
23-03-2020, -2, 754, СВ 2м/с, +2, 752, СВ 2м/с
24-03-2020, -2, 760, З 2м/с, -3, 761, З 2м/с
25-03-2020, +3, 763, З 1м/с, -2, 763, З 1м/с
26-03-2020, +5, 758, З 3м/с, +3, 758, З 3м/с
27-03-2020, +11, 760, СВ 2м/с, +2, 761, СВ 2м/с
28-03-2020, +9, 758, ЮВ 2м/с, +6, 757, ЮВ 2м/с
29-03-2020, +14, 751, Ю 1м/с, +10, 749, Ю 1м/с
30-03-2020, +15, 746, ЮВ 3м/с, +11, 745, ЮВ 3м/с
31-03-2020, +17, 741, ЮВ 1м/с, +14, 740, ЮВ 1м/с
01-04-2020, +4, 742, З 3м/с, -1, 743, З 3м/с
02-04-2020, +7, 745, ЮЗ 4м/с, +6, 747, ЮЗ 4м/с
03-04-2020, +12, 749, Ю 2м/с, +8, 749, Ю 2м/с
04-04-2020, +16, 748, З 3м/с, +12, 748, З 3м/с
05-04-2020, +7, 749, С 2м/с, +3, 749, С 2м/с
06-04-2020, +5, 749, СЗ 3м/с, +1, 751, СЗ 3м/с
07-04-2020, +6, 756, СЗ 3м/с, +1, 756, СЗ 3м/с
08-04-2020, +9, 749, З 2м/с, +8, 747, З 2м/с
09-04-2020, +17, 749, ЮЗ 2м/с, +12, 750, ЮЗ 2м/с
10-04-2020, +14, 749, ЮЗ 4м/с, +10, 749, ЮЗ 4м/с
11-04-2020, +14, 746, ЮЗ 3м/с, +10, 743, ЮЗ 3м/с
12-04-2020, +4, 739, Ю 2м/с, +3, 740, Ю 2м/с
13-04-2020, +1, 746, СЗ 2м/с, +2, 747, СЗ 2м/с
14-04-2020, +15, 747, Ю 2м/с, +11, 747, Ю 2м/с
15-04-2020, +16, 742, ЮВ 4м/с, +11, 738, ЮВ 4м/с
16-04-2020, +7, 741, ЮЗ 3м/с, +4, 740, ЮЗ 3м/с
17-04-2020, +9, 734, З 5м/с, +6, 737, З 5м/с
18-04-2020, +7, 743, ЮЗ 3м/с, +6, 746, ЮЗ 3м/с
19-04-2020, +10, 750, З 3м/с, +9, 750, З 3м/с
20-04-2020, +15, 749, ЮВ 2м/с, +13, 746, ЮВ 2м/с
21-04-2020, +10, 740, ЮЗ 3м/с, +7, 739, ЮЗ 3м/с
22-04-2020, +6, 733, З 4м/с, +3, 735, З 4м/с
23-04-2020, +7, 742, З 4м/с, +2, 743, З 4м/с
24-04-2020, +6, 743, З 3м/с, +6, 743, З 3м/с
25-04-2020, +18, 739, ЮЗ 5м/с, +14, 742, ЮЗ 5м/с
26-04-2020, +19, 743, ЮЗ 3м/с, +14, 743, ЮЗ 3м/с
27-04-2020, +18, 739, Ю 2м/с, +14, 738, Ю 2м/с
28-04-2020, +9, 738, З 2м/с, +6, 742, З 2м/с
29-04-2020, +14, 745, ЮЗ 3м/с, +13, 744, ЮЗ 3м/с
30-04-2020, +22, 744, З 4м/с, +12, 748, З 4м/с
01-05-2020, +23, 746, ЮЗ 3м/с, +19, 746, ЮЗ 3м/с
02-05-2020, +15, 750, С 2м/с, +10, 751, С 2м/с
03-05-2020, +19, 753, В 2м/с, +14, 753, В 2м/с
04-05-2020, +23, 754, В 2м/с, +19, 753, В 2м/с
05-05-2020, +25, 754, В 3м/с, +19, 753, В 3м/с
06-05-2020, +18, 751, В 3м/с, +18, 748, В 3м/с
07-05-2020, +26, 746, ЮВ 2м/с, +21, 746, ЮВ 2м/с
08-05-2020, +28, 745, Ю 3м/с, +22, 745, Ю 3м/с
09-05-2020, +27, 741, ЮВ 2м/с, +18, 740, ЮВ 2м/с
10-05-2020, +19, 744, ЮЗ 3м/с, +15, 745, ЮЗ 3м/с
11-05-2020, +19, 744, Ю 2м/с, +17, 743, Ю 2м/с
12-05-2020, +21, 743, ЮЗ 2м/с, +18, 743, ЮЗ 2м/с
13-05-2020, +19, 743, З 3м/с, +15, 744, З 3м/с
14-05-2020, +15, 749, СЗ 3м/с, +8, 749, СЗ 3м/с
15-05-2020, +11, 744, Ю 2м/с, +11, 741, Ю 2м/с
16-05-2020, +14, 745, СЗ 2м/с, +11, 746, СЗ 2м/с
17-05-2020, +17, 747, З 2м/с, +12, 748, З 2м/с
18-05-2020, +18, 744, З 2м/с, +15, 743, З 2м/с
19-05-2020, +8, 740, З 3м/с, +6, 740, З 3м/с
20-05-2020, +12, 740, СЗ 2м/с, +8, 743, СЗ 2м/с
21-05-2020, +18, 743, З 2м/с, +15, 743, З 2м/с
22-05-2020, +16, 747, З 3м/с, +12, 746, З 3м/с
23-05-2020, +18, 747, В 3м/с, +14, 746, В 3м/с
24-05-2020, +16, 752, З 2м/с, +14, 754, З 2м/с
25-05-2020, +19, 758, ЮЗ 1м/с, +12, 758, ЮЗ 1м/с
26-05-2020, +23, 754, В 5м/с, +20, 750, В 5м/с
27-05-2020, +25, 751, С 2м/с, +19, 752, С 2м/с
28-05-2020, +22, 755, СЗ 2м/с, +19, 755, СЗ 2м/с
29-05-2020, +26, 753, В 2м/с, +22, 752, В 2м/с
30-05-2020, +29, 746, В 3м/с, +26, 745, В 3м/с
31-05-2020, +24, 743, З 3м/с, +20, 743, З 3м/с
01-06-2020, +23, 746, З 3м/с, +19, 748, З 3м/с
02-06-2020, +16, 749, СВ 1м/с, +16, 749, СВ 1м/с
03-06-2020, +23, 747, СВ 2м/с, +21, 746, СВ 2м/с
04-06-2020, +17, 746, В 3м/с, +17, 748, В 3м/с
05-06-2020, +26, 749, ЮВ 2м/с, +20, 750, ЮВ 2м/с
06-06-2020, +18, 751, Ш, +17, 751, Ш
07-06-2020, +22, 751, ЮЗ 2м/с, +18, 752, ЮЗ 2м/с
08-06-2020, +21, 752, З 2м/с, +18, 752, З 2м/с
09-06-2020, +19, 753, Ш, +17, 753, Ш
10-06-2020, +26, 752, З 2м/с, +20, 752, З 2м/с
11-06-2020, +26, 750, С 1м/с, +21, 749, С 1м/с
12-06-2020, +28, 746, З 2м/с, +23, 748, З 2м/с
13-06-2020, +21, 750, СВ 3м/с, +17, 751, СВ 3м/с
14-06-2020, +20, 755, СВ 3м/с, +17, 755, СВ 3м/с
15-06-2020, +23, 755, С 2м/с, +18, 755, С 2м/с
16-06-2020, +26, 753, З 2м/с, +19, 752, З 2м/с
17-06-2020, +28, 749, СЗ 2м/с, +21, 749, СЗ 2м/с
18-06-2020, +26, 749, СВ 3м/с, +19, 752, СВ 3м/с
19-06-2020, +23, 752, В 2м/с, +20, 751, В 2м/с
20-06-2020, +28, 748, З 2м/с, +19, 746, З 2м/с
21-06-2020, +22, 747, С 2м/с, +16, 748, С 2м/с
22-06-2020, +19, 750, СВ 2м/с, +14, 752, СВ 2м/с
23-06-2020, +20, 752, С 1м/с, +15, 751, С 1м/с
24-06-2020, +16, 750, З 2м/с, +15, 749, З 2м/с
25-06-2020, +16, 751, С 2м/с, +13, 751, С 2м/с
26-06-2020, +20, 750, СЗ 2м/с, +16, 750, СЗ 2м/с
27-06-2020, +27, 745, З 3м/с, +23, 743, З 3м/с
28-06-2020, +22, 743, СЗ 3м/с, +17, 744, СЗ 3м/с
29-06-2020, +22, 743, СЗ 2м/с, +16, 743, СЗ 2м/с
30-06-2020, +18, 746, СЗ 2м/с, +15, 748, СЗ 2м/с
01-07-2020, +22, 749, СЗ 2м/с, +19, 749, СЗ 2м/с
02-07-2020, +26, 747, З 2м/с, +18, 749, З 2м/с
03-07-2020, +29, 751, З 2м/с, +21, 751, З 2м/с
04-07-2020, +32, 750, З 2м/с, +23, 749, З 2м/с
05-07-2020, +31, 747, З 2м/с, +27, 746, З 2м/с
06-07-2020, +34, 746, З 2м/с, +27, 746, З 2м/с
07-07-2020, +37, 746, З 2м/с, +31, 747, З 2м/с
08-07-2020, +35, 748, В 3м/с, +29, 748, В 3м/с
09-07-2020, +35, 747, Ю 2м/с, +30, 747, Ю 2м/с
10-07-2020, +31, 748, СЗ 2м/с, +26, 749, СЗ 2м/с
11-07-2020, +28, 751, СВ 2м/с, +24, 751, СВ 2м/с
12-07-2020, +33, 749, СВ 2м/с, +29, 748, СВ 2м/с
13-07-2020, +34, 746, В 2м/с, +31, 746, В 2м/с
14-07-2020, +35, 746, В 1м/с, +28, 746, В 1м/с
15-07-2020, +30, 747, З 3м/с, +26, 747, З 3м/с
16-07-2020, +23, 747, СЗ 1м/с, +22, 746, СЗ 1м/с
17-07-2020, +29, 747, З 2м/с, +24, 747, З 2м/с
18-07-2020, +28, 746, СЗ 3м/с, +23, 746, СЗ 3м/с
19-07-2020, +27, 746, ЮЗ 3м/с, +21, 746, ЮЗ 3м/с
20-07-2020, +27, 745, ЮЗ 3м/с, +20, 745, ЮЗ 3м/с
21-07-2020, +29, 743, З 2м/с, +23, 743, З 2м/с
22-07-2020, +29, 742, З 3м/с, +22, 741, З 3м/с
23-07-2020, +26, 740, СЗ 2м/с, +22, 743, СЗ 2м/с
24-07-2020, +24, 746, СЗ 3м/с, +20, 747, СЗ 3м/с
25-07-2020, +24, 750, С 2м/с, +20, 751, С 2м/с
26-07-2020, +24, 752, СЗ 2м/с, +19, 752, СЗ 2м/с
27-07-2020, +25, 751, СЗ 2м/с, +22, 752, СЗ 2м/с
28-07-2020, +28, 752, З 1м/с, +20, 751, З 1м/с
29-07-2020, +28, 751, СЗ 2м/с, +20, 750, СЗ 2м/с
30-07-2020, +32, 747, З 2м/с, +25, 746, З 2м/с
31-07-2020, +24, 744, З 3м/с, +21, 743, З 3м/с
01-08-2020, +23, 740, В 2м/с, +20, 737, В 2м/с
02-08-2020, +22, 744, З 3м/с, +15, 745, З 3м/с
03-08-2020, +23, 747, В 1м/с, +18, 748, В 1м/с
04-08-2020, +16, 748, С 3м/с, +17, 748, С 3м/с
05-08-2020, +32, 748, В 3м/с, +28, 749, В 3м/с
06-08-2020, +33, 749, В 3м/с, +29, 749, В 3м/с
07-08-2020, +30, 746, СЗ 2м/с, +21, 748, СЗ 2м/с
08-08-2020, +23, 746, С 3м/с, +20, 745, С 3м/с
09-08-2020, +22, 742, СЗ 3м/с, +19, 742, СЗ 3м/с
10-08-2020, +20, 743, СЗ 4м/с, +17, 745, СЗ 4м/с
11-08-2020, +23, 746, СЗ 3м/с, +17, 746, СЗ 3м/с
12-08-2020, +24, 746, З 1м/с, +21, 745, З 1м/с
13-08-2020, +24, 741, В 2м/с, +18, 741, В 2м/с
14-08-2020, +21, 740, ЮЗ 1м/с, +17, 740, ЮЗ 1м/с
15-08-2020, +18, 740, СЗ 3м/с, +14, 741, СЗ 3м/с
16-08-2020, +14, 743, СЗ 3м/с, +14, 743, СЗ 3м/с
17-08-2020, +17, 740, З 2м/с, +16, 740, З 2м/с
18-08-2020, +19, 743, СЗ 3м/с, +14, 744, СЗ 3м/с
19-08-2020, +19, 745, СЗ 3м/с, +13, 746, СЗ 3м/с
20-08-2020, +19, 746, З 3м/с, +13, 747, З 3м/с
21-08-2020, +18, 748, С 1м/с, +15, 749, С 1м/с
22-08-2020, +18, 749, СВ 1м/с, +15, 749, СВ 1м/с
23-08-2020, +23, 748, СЗ 2м/с, +15, 749, СЗ 2м/с
24-08-2020, +26, 749, СЗ 2м/с, +16, 749, СЗ 2м/с
25-08-2020, +28, 748, З 2м/с, +21, 749, З 2м/с
26-08-2020, +29, 748, СВ 1м/с, +22, 747, СВ 1м/с
27-08-2020, +28, 746, ЮЗ 2м/с, +23, 746, ЮЗ 2м/с
28-08-2020, +30, 744, ЮЗ 2м/с, +23, 744, ЮЗ 2м/с
29-08-2020, +21, 747, ЮВ 1м/с, +17, 749, ЮВ 1м/с
30-08-2020, +22, 752, СЗ 1м/с, +16, 753, СЗ 1м/с
31-08-2020, +27, 752, З 3м/с, +19, 752, З 3м/с
01-09-2020, +31, 749, З 3м/с, +25, 749, З 3м/с
02-09-2020, +18, 755, С 3м/с, +16, 757, С 3м/с
03-09-2020, +20, 760, СВ 3м/с, +16, 761, СВ 3м/с
04-09-2020, +20, 758, В 2м/с, +12, 758, В 2м/с
05-09-2020, +21, 756, В 2м/с, +17, 755, В 2м/с
06-09-2020, +21, 756, В 2м/с, +17, 756, В 2м/с
07-09-2020, +25, 756, З 2м/с, +15, 756, З 2м/с
08-09-2020, +27, 754, З 2м/с, +21, 752, З 2м/с
09-09-2020, +12, 747, В 2м/с, +12, 746, В 2м/с
10-09-2020, +17, 749, З 1м/с, +14, 749, З 1м/с
11-09-2020, +18, 746, З 2м/с, +14, 749, З 2м/с
12-09-2020, +17, 754, СЗ 1м/с, +10, 755, СЗ 1м/с
13-09-2020, +19, 756, З 2м/с, +17, 753, З 2м/с
14-09-2020, +13, 746, З 2м/с, +9, 746, З 2м/с
15-09-2020, +15, 744, СЗ 2м/с, +10, 744, СЗ 2м/с
16-09-2020, +11, 747, СЗ 4м/с, +11, 749, СЗ 4м/с
17-09-2020, +15, 752, СЗ 2м/с, +10, 751, СЗ 2м/с
18-09-2020, +20, 746, Ю 2м/с, +16, 745, Ю 2м/с
19-09-2020, +11, 737, С 1м/с, +9, 737, С 1м/с
20-09-2020, +10, 740, З 4м/с, +7, 743, З 4м/с
21-09-2020, +11, 747, З 3м/с, +11, 746, З 3м/с
22-09-2020, +16, 748, З 4м/с, +15, 746, З 4м/с
23-09-2020, +19, 749, СЗ 4м/с, +11, 751, СЗ 4м/с
24-09-2020, +18, 756, ЮВ 1м/с, +13, 758, ЮВ 1м/с
25-09-2020, +19, 759, В 2м/с, +13, 758, В 2м/с
26-09-2020, +19, 761, ЮВ 1м/с, +11, 761, ЮВ 1м/с
27-09-2020, +19, 764, ЮВ 1м/с, +9, 764, ЮВ 1м/с
28-09-2020, +18, 764, З 1м/с, +8, 764, З 1м/с
29-09-2020, +20, 762, В 1м/с, +15, 762, В 1м/с
30-09-2020, +21, 761, ЮВ 1м/с, +15, 761, ЮВ 1м/с
01-10-2020, +20, 761, В 1м/с, +11, 761, В 1м/с
02-10-2020, +20, 761, З 1м/с, +10, 761, З 1м/с
03-10-2020, +20, 760, З 2м/с, +12, 760, З 2м/с
04-10-2020, +14, 762, С 2м/с, +8, 764, С 2м/с
05-10-2020, +14, 765, Ю 1м/с, +6, 764, Ю 1м/с
06-10-2020, +14, 761, З 3м/с, +12, 760, З 3м/с
07-10-2020, +18, 760, ЮЗ 1м/с, +13, 761, ЮЗ 1м/с
08-10-2020, +15, 765, ЮВ 2м/с, +10, 766, ЮВ 2м/с
09-10-2020, +15, 766, Ю 1м/с, +11, 765, Ю 1м/с
10-10-2020, +15, 764, ЮЗ 2м/с, +12, 763, ЮЗ 2м/с
11-10-2020, +15, 762, Ю 2м/с, +9, 761, Ю 2м/с
12-10-2020, +18, 758, ЮВ 2м/с, +13, 758, ЮВ 2м/с
13-10-2020, +19, 757, В 1м/с, +15, 757, В 1м/с
14-10-2020, +19, 755, ЮЗ 2м/с, +15, 754, ЮЗ 2м/с
15-10-2020, +21, 751, Ю 3м/с, +17, 750, Ю 3м/с
16-10-2020, +16, 749, З 2м/с, +16, 745, З 2м/с
17-10-2020, +8, 753, С 1м/с, +3, 755, С 1м/с
18-10-2020, +12, 750, В 3м/с, +14, 746, В 3м/с
19-10-2020, +13, 749, З 2м/с, +6, 749, З 2м/с
20-10-2020, +10, 748, З 2м/с, +7, 748, З 2м/с
21-10-2020, +3, 749, З 2м/с, +2, 751, З 2м/с
22-10-2020, +4, 753, З 2м/с, -1, 754, З 2м/с
23-10-2020, +4, 747, ЮВ 2м/с, +7, 745, ЮВ 2м/с
24-10-2020, +14, 743, З 2м/с, +9, 746, З 2м/с
25-10-2020, +9, 742, В 1м/с, +7, 743, В 1м/с
26-10-2020, +4, 752, СЗ 2м/с, +1, 756, СЗ 2м/с
27-10-2020, +4, 762, С 2м/с, +1, 764, С 2м/с
28-10-2020, +5, 764, Ю 2м/с, +2, 764, Ю 2м/с
29-10-2020, +6, 761, В 2м/с, +3, 761, В 2м/с
30-10-2020, +7, 756, В 2м/с, +3, 755, В 2м/с
31-10-2020, +6, 753, В 1м/с, +5, 753, В 1м/с
01-11-2020, +8, 756, СВ 3м/с, +5, 757, СВ 3м/с
02-11-2020, +8, 757, В 2м/с, +5, 758, В 2м/с
03-11-2020, +7, 760, В 2м/с, +5, 760, В 2м/с
04-11-2020, +7, 759, В 1м/с, +2, 758, В 1м/с
05-11-2020, +4, 754, З 1м/с, +4, 752, З 1м/с
06-11-2020, +6, 742, ЮЗ 2м/с, +5, 740, ЮЗ 2м/с
07-11-2020, +4, 740, СЗ 3м/с, +3, 743, СЗ 3м/с
08-11-2020, +7, 740, З 3м/с, +7, 742, З 3м/с
09-11-2020, +2, 751, З 3м/с, 0, 751, З 3м/с
10-11-2020, +1, 747, СЗ 2м/с, 0, 748, СЗ 2м/с
11-11-2020, +1, 752, СЗ 4м/с, 0, 754, СЗ 4м/с
12-11-2020, 0, 755, З 3м/с, -1, 754, З 3м/с
13-11-2020, 0, 756, З 2м/с, -1, 755, З 2м/с
14-11-2020, -5, 760, СВ 2м/с, -7, 761, СВ 2м/с
15-11-2020, -7, 767, СВ 2м/с, -10, 767, СВ 2м/с
16-11-2020, -8, 770, В 1м/с, -9, 770, В 1м/с
17-11-2020, -6, 773, В 1м/с, -12, 773, В 1м/с
18-11-2020, -6, 773, Ш, -9, 771, Ш
19-11-2020, -5, 767, Ю 2м/с, -7, 767, Ю 2м/с
20-11-2020, -5, 765, Ю 2м/с, -8, 766, Ю 2м/с
21-11-2020, -6, 767, В 2м/с, -8, 766, В 2м/с
22-11-2020, -6, 763, В 2м/с, -6, 761, В 2м/с
23-11-2020, -5, 755, В 3м/с, -5, 754, В 3м/с
24-11-2020, -1, 752, Ю 2м/с, -2, 751, Ю 2м/с
25-11-2020, -3, 749, В 2м/с, -4, 749, В 2м/с
26-11-2020, -4, 752, СЗ 1м/с, -6, 753, СЗ 1м/с
27-11-2020, -5, 756, Ю 1м/с, -7, 758, Ю 1м/с
28-11-2020, -1, 762, ЮВ 2м/с, -2, 764, ЮВ 2м/с
29-11-2020, -2, 770, В 2м/с, -6, 772, В 2м/с
30-11-2020, -9, 773, В 2м/с, -10, 773, В 2м/с
01-12-2020, -7, 771, В 3м/с, -8, 771, В 3м/с
02-12-2020, -13, 770, В 1м/с, -15, 770, В 1м/с
03-12-2020, -12, 770, З 1м/с, -16, 770, З 1м/с
04-12-2020, -11, 770, З 1м/с, -16, 770, З 1м/с
05-12-2020, -12, 771, З 1м/с, -15, 771, З 1м/с
06-12-2020, -13, 772, З 1м/с, -13, 772, З 1м/с
07-12-2020, -6, 769, С 2м/с, -7, 768, С 2м/с
08-12-2020, -5, 767, СЗ 3м/с, -7, 767, СЗ 3м/с
09-12-2020, -7, 767, Ш, -10, 767, Ш
10-12-2020, -8, 767, З 1м/с, -9, 767, З 1м/с
11-12-2020, -14, 768, В 2м/с, -16, 768, В 2м/с
12-12-2020, -10, 769, ЮВ 1м/с, -13, 769, ЮВ 1м/с
13-12-2020, -15, 768, В 2м/с, -17, 767, В 2м/с
14-12-2020, -14, 765, В 3м/с, -15, 764, В 3м/с
15-12-2020, -13, 762, В 2м/с, -13, 761, В 2м/с
16-12-2020, -8, 757, ЮВ 2м/с, -8, 756, ЮВ 2м/с
17-12-2020, -7, 754, ЮЗ 1м/с, -7, 752, ЮЗ 1м/с
18-12-2020, 0, 751, З 1м/с, -3, 754, З 1м/с
19-12-2020, -13, 761, СЗ 1м/с, -15, 764, СЗ 1м/с
20-12-2020, -14, 767, В 1м/с, -15, 767, В 1м/с
21-12-2020, -15, 767, ЮЗ 1м/с, -17, 767, ЮЗ 1м/с
22-12-2020, -9, 762, ЮЗ 2м/с, -10, 761, ЮЗ 2м/с
23-12-2020, -9, 758, З 1м/с, -10, 758, З 1м/с
24-12-2020, -9, 758, З 1м/с, -13, 758, З 1м/с
25-12-2020, -10, 758, ЮЗ 1м/с, -13, 758, ЮЗ 1м/с
26-12-2020, -11, 755, ЮВ 2м/с, -8, 752, ЮВ 2м/с
27-12-2020, -3, 752, З 2м/с, -4, 754, З 2м/с
28-12-2020, -4, 762, Ш, -9, 763, Ш
29-12-2020, -8, 765, СВ 1м/с, -9, 765, СВ 1м/с
30-12-2020, -9, 764, Ю 1м/с, -9, 764, Ю 1м/с
31-12-2020, -10, 763, В 2м/с, -11, 762, В 2м/с
