1-1-2010, -4, 745, В 3м/с, -1, 742, В 3м/с
17-2-2010, -6, 740, СЗ 4м/с, -10, 743, СЗ 4м/с

18-2-2010, -9, 751, З 1м/с, -14, 751, З 1м/с

19-2-2010, -11, 746, З 3м/с, -12, 748, З 3м/с

20-2-2010, -4, 745, З 2м/с, -8, 746, З 2м/с

21-2-2010, -12, 743, В 3м/с, -12, 743, В 3м/с

22-2-2010, -9, 743, В 4м/с, -10, 743, В 4м/с

23-2-2010, -7, 743, В 3м/с, -8, 745, В 3м/с

24-2-2010, -5, 746, СВ 2м/с, -6, 747, СВ 2м/с

25-2-2010, -3, 749, Ш, -3, 750, Ш

26-2-2010, -3, 754, Ш, -5, 755, Ш

27-2-2010, -3, 755, ЮЗ 2м/с, -7, 755, ЮЗ 2м/с

28-2-2010, -6, 755, СЗ 2м/с, -10, 756, СЗ 2м/с

1-3-2010, -8, 758, В 1м/с, -10, 758, В 1м/с

2-3-2010, -6, 755, В 3м/с, -8, 753, В 3м/с

3-3-2010, -4, 752, В 1м/с, -5, 752, В 1м/с

4-3-2010, -4, 750, ЮВ 2м/с, -6, 748, ЮВ 2м/с

5-3-2010, 0, 747, ЮЗ 2м/с, -4, 750, ЮЗ 2м/с

6-3-2010, -5, 753, В 2м/с, -6, 752, В 2м/с

7-3-2010, -4, 749, В 2м/с, -4, 747, В 2м/с

8-3-2010, -3, 740, С 1м/с, -5, 742, С 1м/с

9-3-2010, -6, 749, СЗ 2м/с, -11, 750, СЗ 2м/с

10-3-2010, -4, 751, ЮЗ 2м/с, -8, 750, ЮЗ 2м/с

11-3-2010, -3, 746, З 4м/с, -4, 749, З 4м/с

12-3-2010, -1, 751, Ю 2м/с, -5, 749, Ю 2м/с

13-3-2010, 0, 737, ЮЗ 4м/с, -1, 738, ЮЗ 4м/с

14-3-2010, 0, 738, З 2м/с, -2, 738, З 2м/с

15-3-2010, 0, 742, ЮЗ 4м/с, -4, 744, ЮЗ 4м/с

16-3-2010, +1, 738, ЮЗ 3м/с, -4, 740, ЮЗ 3м/с

17-3-2010, -5, 746, З 3м/с, -7, 748, З 3м/с

18-3-2010, -4, 754, ЮЗ 2м/с, -10, 755, ЮЗ 2м/с

19-3-2010, -7, 755, З 4м/с, -11, 755, З 4м/с

20-3-2010, -2, 746, ЮЗ 2м/с, -4, 749, ЮЗ 2м/с

21-3-2010, +3, 746, ЮЗ 1м/с, +1, 745, ЮЗ 1м/с

22-3-2010, +3, 741, З 3м/с, +2, 739, З 3м/с

23-3-2010, +2, 744, СЗ 4м/с, -3, 749, СЗ 4м/с

24-3-2010, +1, 749, ЮЗ 4м/с, -1, 747, ЮЗ 4м/с

25-3-2010, 0, 749, С 2м/с, -4, 752, С 2м/с

26-3-2010, 0, 758, СЗ 3м/с, -4, 759, СЗ 3м/с

27-3-2010, +1, 758, З 5м/с, -2, 758, З 5м/с

28-3-2010, +4, 758, Ю 2м/с, -1, 758, Ю 2м/с

29-3-2010, +5, 758, В 2м/с, 0, 758, В 2м/с

30-3-2010, +5, 757, В 2м/с, +2, 757, В 2м/с

31-3-2010, +8, 757, ЮВ 2м/с, +4, 757, ЮВ 2м/с

1-4-2010, +10, 757, В 3м/с, +6, 758, В 3м/с

2-4-2010, +9, 759, ЮВ 2м/с, +5, 759, ЮВ 2м/с

3-4-2010, +8, 758, С 2м/с, +6, 757, С 2м/с

4-4-2010, +12, 757, СВ 2м/с, +7, 756, СВ 2м/с

5-4-2010, +11, 756, СВ 2м/с, +8, 755, СВ 2м/с

6-4-2010, +12, 755, СВ 3м/с, , , 

7-4-2010, +4, 759, В 3м/с, +1, 760, В 3м/с

8-4-2010, +4, 761, В 3м/с, 0, 761, В 3м/с

9-4-2010, +6, 758, В 2м/с, +3, 757, В 2м/с

10-4-2010, +9, 755, В 3м/с, +5, 755, В 3м/с

11-4-2010, +9, 754, С 3м/с, +5, 753, С 3м/с

12-4-2010, +12, 753, СВ 3м/с, +7, 753, СВ 3м/с

13-4-2010, +9, 752, СЗ 2м/с, +4, 752, СЗ 2м/с

14-4-2010, +8, 749, СЗ 3м/с, +2, 751, СЗ 3м/с

15-4-2010, +11, 752, ЮЗ 2м/с, +8, 751, ЮЗ 2м/с

16-4-2010, +13, 751, З 2м/с, +9, 752, З 2м/с

17-4-2010, +17, 752, Ю 3м/с, +10, 752, Ю 3м/с

18-4-2010, +13, 748, ЮЗ 1м/с, +11, 750, ЮЗ 1м/с

19-4-2010, +17, 749, СЗ 3м/с, +12, 750, СЗ 3м/с

20-4-2010, +20, 750, ЮЗ 3м/с, +16, 751, ЮЗ 3м/с

21-4-2010, +21, 751, ЮВ 2м/с, +17, 750, ЮВ 2м/с

22-4-2010, +23, 747, Ю 4м/с, +19, 746, Ю 4м/с

23-4-2010, +18, 748, З 4м/с, +13, 752, З 4м/с

24-4-2010, +14, 758, ЮЗ 3м/с, +10, 758, ЮЗ 3м/с

25-4-2010, +17, 752, ЮЗ 3м/с, +12, 749, ЮЗ 3м/с

26-4-2010, +11, 749, С 3м/с, +4, 749, С 3м/с

27-4-2010, +5, 750, СВ 2м/с, +1, 752, СВ 2м/с

28-4-2010, +11, 749, СЗ 5м/с, +8, 749, СЗ 5м/с

29-4-2010, +15, 747, З 4м/с, +10, 748, З 4м/с

30-4-2010, +17, 751, ЮЗ 2м/с, +14, 750, ЮЗ 2м/с

1-5-2010, +17, 752, Ю 3м/с, +15, 752, Ю 3м/с

2-5-2010, +20, 753, З 3м/с, +19, 752, З 3м/с

3-5-2010, +21, 754, З 2м/с, +21, 754, З 2м/с

4-5-2010, +26, 755, ЮЗ 3м/с, +18, 755, ЮЗ 3м/с

5-5-2010, +28, 754, З 1м/с, +19, 752, З 1м/с

6-5-2010, +29, 752, СЗ 2м/с, +21, 752, СЗ 2м/с

7-5-2010, +30, 751, З 2м/с, +24, 750, З 2м/с

8-5-2010, +27, 753, СВ 3м/с, +20, 753, СВ 3м/с

9-5-2010, +26, 751, В 3м/с, +22, 751, В 3м/с

10-5-2010, +24, 752, В 4м/с, +19, 752, В 4м/с

11-5-2010, +24, 755, В 3м/с, +19, 756, В 3м/с

12-5-2010, +25, 755, ЮВ 2м/с, +21, 753, ЮВ 2м/с

13-5-2010, +22, 754, ЮВ 2м/с, +18, 753, ЮВ 2м/с

14-5-2010, +25, 751, ЮВ 6м/с, +16, 752, ЮВ 6м/с

15-5-2010, +20, 752, В 3м/с, +19, 752, В 3м/с

16-5-2010, +26, 750, ЮВ 2м/с, +20, 749, ЮВ 2м/с

17-5-2010, +26, 747, СЗ 1м/с, +23, 746, СЗ 1м/с

18-5-2010, +21, 746, СВ 2м/с, +17, 747, СВ 2м/с

19-5-2010, +22, 746, С 2м/с, +16, 746, С 2м/с

20-5-2010, +20, 749, СВ 4м/с, +15, 750, СВ 4м/с

21-5-2010, +18, 754, ЮВ 2м/с, +11, 753, ЮВ 2м/с

22-5-2010, +21, 749, ЮЗ 3м/с, +17, 748, ЮЗ 3м/с

23-5-2010, +24, 746, З 2м/с, +16, 746, З 2м/с

24-5-2010, +26, 743, ЮВ 1м/с, +19, 743, ЮВ 1м/с

25-5-2010, +24, 741, ЮВ 2м/с, +20, 740, ЮВ 2м/с

26-5-2010, +19, 737, ЮВ 2м/с, +19, 737, ЮВ 2м/с

27-5-2010, +15, 738, ЮЗ 4м/с, +11, 740, ЮЗ 4м/с

28-5-2010, +13, 739, ЮЗ 3м/с, +13, 741, ЮЗ 3м/с

29-5-2010, +13, 747, СЗ 2м/с, +12, 749, СЗ 2м/с

30-5-2010, +20, 752, В 2м/с, +15, 752, В 2м/с

31-5-2010, +23, 754, З 2м/с, +20, 753, З 2м/с

1-6-2010, +26, 754, ЮЗ 2м/с, +22, 753, ЮЗ 2м/с

2-6-2010, +28, 754, СЗ 1м/с, +23, 752, СЗ 1м/с

3-6-2010, +31, 740, З 2м/с, +22, 749, З 2м/с

4-6-2010, +33, 748, ЮЗ 3м/с, +28, 746, ЮЗ 3м/с

5-6-2010, +30, 743, ЮЗ 2м/с, +26, 742, ЮЗ 2м/с

6-6-2010, +20, 749, С 2м/с, +14, 749, С 2м/с

7-6-2010, +22, 750, СЗ 2м/с, +16, 749, СЗ 2м/с

8-6-2010, +25, 748, ЮЗ 2м/с, +18, 747, ЮЗ 2м/с

9-6-2010, +29, 746, ЮЗ 3м/с, +23, 744, ЮЗ 3м/с

10-6-2010, +19, 748, СВ 2м/с, +16, 748, СВ 2м/с

11-6-2010, +22, 749, С 1м/с, +17, 750, С 1м/с

12-6-2010, +27, 749, З 4м/с, +26, 747, З 4м/с

13-6-2010, +34, 745, З 4м/с, +31, 744, З 4м/с

14-6-2010, +24, 744, СЗ 1м/с, +24, 745, СЗ 1м/с

15-6-2010, +27, 748, С 3м/с, +22, 747, С 3м/с

16-6-2010, +29, 745, С 1м/с, +23, 743, С 1м/с

17-6-2010, +27, 740, СЗ 3м/с, +20, 740, СЗ 3м/с

18-6-2010, +22, 743, СЗ 2м/с, +19, 745, СЗ 2м/с

19-6-2010, +20, 748, С 3м/с, +17, 751, С 3м/с

20-6-2010, +25, 754, С 2м/с, +21, 755, С 2м/с

21-6-2010, +26, 755, С 2м/с, +19, 755, С 2м/с

22-6-2010, +28, 753, С 2м/с, +24, 752, С 2м/с

23-6-2010, +32, 750, В 2м/с, +27, 749, В 2м/с

24-6-2010, +33, 749, З 2м/с, +23, 748, З 2м/с

25-6-2010, +35, 749, СЗ 1м/с, +25, 748, СЗ 1м/с

26-6-2010, +35, 749, З 2м/с, +29, 749, З 2м/с

27-6-2010, +36, 750, В 1м/с, +29, 750, В 1м/с

28-6-2010, +36, 747, В 2м/с, +28, 749, В 2м/с

29-6-2010, +30, 747, С 3м/с, +28, 747, С 3м/с

30-6-2010, +25, 748, В 1м/с, +21, 748, В 1м/с

1-7-2010, +27, 749, В 2м/с, +23, 749, В 2м/с

2-7-2010, +27, 750, ЮВ 2м/с, +21, 749, ЮВ 2м/с

3-7-2010, +29, 749, В 3м/с, +26, 748, В 3м/с

4-7-2010, +30, 746, СЗ 2м/с, +25, 746, СЗ 2м/с

5-7-2010, +31, 746, СВ 3м/с, +25, 747, СВ 3м/с

6-7-2010, +30, 747, СВ 2м/с, +26, 747, СВ 2м/с

7-7-2010, +31, 746, В 2м/с, +27, 746, В 2м/с

8-7-2010, +32, 749, В 2м/с, +25, 749, В 2м/с

9-7-2010, +34, 749, З 2м/с, +26, 749, З 2м/с

10-7-2010, +35, 749, З 3м/с, +28, 749, З 3м/с

11-7-2010, +36, 748, З 2м/с, +29, 748, З 2м/с

12-7-2010, +33, 746, СВ 3м/с, +29, 746, СВ 3м/с

13-7-2010, +27, 745, С 3м/с, +22, 744, С 3м/с

14-7-2010, +26, 745, СВ 4м/с, +22, 744, СВ 4м/с

15-7-2010, +26, 745, С 3м/с, +26, 745, С 3м/с

16-7-2010, +31, 746, СВ 5м/с, +28, 746, СВ 5м/с

17-7-2010, +35, 744, С 3м/с, +30, 746, С 3м/с

18-7-2010, +35, 745, З 2м/с, +22, 746, З 2м/с

19-7-2010, +28, 749, В 2м/с, +24, 749, В 2м/с

20-7-2010, +29, 752, ЮЗ 3м/с, +21, 750, ЮЗ 3м/с

21-7-2010, +34, 750, ЮЗ 3м/с, +24, 749, ЮЗ 3м/с

22-7-2010, +35, 750, СВ 1м/с, +30, 750, СВ 1м/с

23-7-2010, +35, 751, З 2м/с, +27, 750, З 2м/с

24-7-2010, +37, 749, СВ 1м/с, +32, 749, СВ 1м/с

25-7-2010, +36, 749, ЮВ 2м/с, +26, 750, ЮВ 2м/с

26-7-2010, +38, 752, С 2м/с, +31, 752, С 2м/с

27-7-2010, +35, 754, В 1м/с, +31, 754, В 1м/с

28-7-2010, +36, 752, СЗ 2м/с, +32, 752, СЗ 2м/с

29-7-2010, +38, 752, В 2м/с, +32, 752, В 2м/с

30-7-2010, +38, 751, Ю 1м/с, +32, 752, Ю 1м/с

31-7-2010, +38, 752, З 1м/с, +31, 752, З 1м/с

1-8-2010, +39, 752, ЮЗ 2м/с, +32, 752, ЮЗ 2м/с

2-8-2010, +40, 751, СЗ 2м/с, +29, 750, СЗ 2м/с

3-8-2010, +38, 749, В 2м/с, +33, 749, В 2м/с

4-8-2010, +36, 749, СВ 1м/с, +32, 749, СВ 1м/с

5-8-2010, +35, 752, СВ 1м/с, +29, 752, СВ 1м/с

6-8-2010, +36, 753, ЮВ 2м/с, +27, 753, ЮВ 2м/с

7-8-2010, +37, 752, З 1м/с, +26, 752, З 1м/с

8-8-2010, +37, 751, С 3м/с, +31, 751, С 3м/с

9-8-2010, +34, 752, СВ 3м/с, +29, 752, СВ 3м/с

10-8-2010, +35, 752, В 2м/с, +28, 752, В 2м/с

11-8-2010, +34, 752, ЮЗ 1м/с, +28, 753, ЮЗ 1м/с

12-8-2010, +36, 752, ЮВ 2м/с, +25, 751, ЮВ 2м/с

13-8-2010, +36, 751, ЮВ 2м/с, +30, 752, ЮВ 2м/с

14-8-2010, +32, 752, СВ 3м/с, +25, 752, СВ 3м/с

15-8-2010, +27, 752, С 3м/с, +23, 750, С 3м/с

16-8-2010, +29, 749, З 2м/с, +21, 747, З 2м/с

17-8-2010, +29, 746, СЗ 4м/с, +23, 746, СЗ 4м/с

18-8-2010, +29, 746, З 3м/с, +27, 743, З 3м/с

19-8-2010, +31, 739, ЮЗ 4м/с, +26, 737, ЮЗ 4м/с

20-8-2010, +27, 737, ЮЗ 5м/с, +20, 735, ЮЗ 5м/с

21-8-2010, +12, 742, С 4м/с, +13, 743, С 4м/с

22-8-2010, +18, 748, СЗ 3м/с, +14, 748, СЗ 3м/с

23-8-2010, +25, 743, З 3м/с, +20, 742, З 3м/с

24-8-2010, +23, 743, З 2м/с, +21, 743, З 2м/с

25-8-2010, +27, 743, З 3м/с, +26, 743, З 3м/с

26-8-2010, +31, 741, ЮЗ 1м/с, +21, 740, ЮЗ 1м/с

27-8-2010, +23, 743, ЮЗ 2м/с, +18, 743, ЮЗ 2м/с

28-8-2010, +24, 745, З 2м/с, +22, 743, З 2м/с

29-8-2010, +32, 742, ЮЗ 4м/с, +28, 742, ЮЗ 4м/с

30-8-2010, +28, 741, СЗ 3м/с, +17, 745, СЗ 3м/с

31-8-2010, +20, 750, СВ 1м/с, +11, 753, СВ 1м/с

1-9-2010, +19, 755, В 2м/с, +16, 755, В 2м/с

2-9-2010, +29, 752, В 6м/с, +23, 752, В 6м/с

3-9-2010, +29, 750, СВ 2м/с, +24, 751, СВ 2м/с

4-9-2010, +23, 753, З 2м/с, , , 

5-9-2010, +19, 753, С 1м/с, +17, 752, С 1м/с

6-9-2010, +19, 747, С 3м/с, +11, 748, С 3м/с

7-9-2010, +13, 751, СЗ 4м/с, +9, 752, СЗ 4м/с

8-9-2010, +15, 755, СЗ 1м/с, +11, 754, СЗ 1м/с

9-9-2010, +17, 754, СВ 3м/с, +14, 754, СВ 3м/с

10-9-2010, +18, 755, З 3м/с, +14, 755, З 3м/с

11-9-2010, +17, 758, СВ 2м/с, +12, 757, СВ 2м/с

12-9-2010, +20, 755, З 2м/с, +16, 754, З 2м/с

13-9-2010, +15, 753, В 2м/с, +13, 754, В 2м/с

14-9-2010, +17, 757, В 2м/с, +11, 756, В 2м/с

15-9-2010, +19, 757, З 2м/с, +13, 755, З 2м/с

16-9-2010, +23, 755, З 3м/с, +17, 755, З 3м/с

17-9-2010, +25, 753, ЮЗ 3м/с, +20, 753, ЮЗ 3м/с

18-9-2010, +25, 753, Ю 2м/с, +20, 752, Ю 2м/с

19-9-2010, +25, 752, ЮЗ 3м/с, +21, 752, ЮЗ 3м/с

20-9-2010, +26, 753, ЮЗ 4м/с, +21, 752, ЮЗ 4м/с

21-9-2010, +26, 752, З 2м/с, +17, 753, З 2м/с

22-9-2010, +24, 752, В 2м/с, +21, 750, В 2м/с

23-9-2010, +16, 747, ЮВ 2м/с, +14, 746, ЮВ 2м/с

24-9-2010, +12, 746, СЗ 2м/с, +11, 747, СЗ 2м/с

25-9-2010, +13, 745, С 3м/с, +11, 752, С 3м/с

26-9-2010, +19, 752, З 2м/с, +12, 752, З 2м/с

27-9-2010, +20, 750, З 3м/с, +14, 750, З 3м/с

28-9-2010, +20, 747, ЮЗ 2м/с, +18, 745, ЮЗ 2м/с

29-9-2010, +21, 740, З 3м/с, +14, 740, З 3м/с

30-9-2010, +6, 746, СЗ 2м/с, +5, 747, СЗ 2м/с

1-10-2010, +7, 746, СВ 3м/с, +5, 747, СВ 3м/с

2-10-2010, +9, 751, СВ 3м/с, +4, 753, СВ 3м/с

3-10-2010, +6, 758, З 2м/с, +2, 760, З 2м/с

4-10-2010, +5, 761, СЗ 2м/с, +3, 761, СЗ 2м/с

5-10-2010, +3, 761, СВ 1м/с, +3, 761, СВ 1м/с

6-10-2010, +5, 761, СВ 1м/с, +4, 761, СВ 1м/с

7-10-2010, +11, 760, З 2м/с, +8, 760, З 2м/с

8-10-2010, +13, 761, СЗ 1м/с, +6, 761, СЗ 1м/с

9-10-2010, +14, 757, В 1м/с, +5, 755, В 1м/с

10-10-2010, +14, 751, З 1м/с, +10, 750, З 1м/с

11-10-2010, +14, 745, Ю 3м/с, +11, 744, Ю 3м/с

12-10-2010, +14, 736, ЮВ 2м/с, +8, 733, ЮВ 2м/с

13-10-2010, +4, 732, ЮЗ 3м/с, +4, 734, ЮЗ 3м/с

14-10-2010, +2, 738, З 4м/с, +3, 742, З 4м/с

15-10-2010, +6, 745, ЮЗ 3м/с, +5, 745, ЮЗ 3м/с

16-10-2010, +10, 746, З 3м/с, +3, 749, З 3м/с

17-10-2010, +5, 753, СЗ 2м/с, +1, 755, СЗ 2м/с

18-10-2010, +7, 758, З 2м/с, +4, 758, З 2м/с

19-10-2010, +5, 761, СВ 1м/с, -1, 763, СВ 1м/с

20-10-2010, +7, 764, ЮВ 2м/с, +2, 763, ЮВ 2м/с

21-10-2010, +1, 754, В 4м/с, +3, 752, В 4м/с

22-10-2010, +6, 749, Ю 2м/с, +7, 751, Ю 2м/с

23-10-2010, +8, 756, ЮЗ 4м/с, +5, 758, ЮЗ 4м/с

24-10-2010, +8, 760, Ю 1м/с, +4, 760, Ю 1м/с

25-10-2010, +8, 758, В 1м/с, +5, 758, В 1м/с

26-10-2010, +8, 758, ЮЗ 2м/с, +5, 757, ЮЗ 2м/с

27-10-2010, +8, 752, Ю 2м/с, +7, 749, Ю 2м/с

28-10-2010, +7, 744, В 2м/с, +9, 743, В 2м/с

29-10-2010, +3, 744, З 3м/с, +1, 746, З 3м/с

30-10-2010, +1, 749, ЮЗ 2м/с, +1, 751, ЮЗ 2м/с

31-10-2010, +1, 755, СВ 2м/с, -1, 757, СВ 2м/с

1-11-2010, 0, 755, С 2м/с, -3, 754, С 2м/с

2-11-2010, +3, 750, З 2м/с, +3, 750, З 2м/с

3-11-2010, +6, 752, З 1м/с, +6, 754, З 1м/с

4-11-2010, +8, 750, Ю 2м/с, +8, 745, Ю 2м/с

5-11-2010, +8, 739, З 3м/с, +6, 737, З 3м/с

6-11-2010, +4, 735, СЗ 2м/с, +4, 738, СЗ 2м/с

7-11-2010, +2, 739, СВ 1м/с, +1, 743, СВ 1м/с

8-11-2010, +5, 754, Ю 1м/с, +4, 755, Ю 1м/с

9-11-2010, +3, 755, ЮВ 2м/с, +4, 755, ЮВ 2м/с

10-11-2010, +7, 755, ЮВ 1м/с, +6, 755, ЮВ 1м/с

11-11-2010, +8, 750, Ю 2м/с, +6, 749, Ю 2м/с

12-11-2010, +6, 746, Ю 1м/с, +6, 746, Ю 1м/с

13-11-2010, +8, 740, ЮЗ 3м/с, +9, 740, ЮЗ 3м/с

14-11-2010, +9, 741, З 4м/с, +8, 744, З 4м/с

15-11-2010, +7, 754, З 2м/с, +7, 755, З 2м/с

16-11-2010, +13, 752, З 4м/с, +10, 751, З 4м/с

17-11-2010, +9, 754, Ш, +7, 757, Ш

18-11-2010, +1, 766, В 2м/с, -2, 767, В 2м/с

19-11-2010, +1, 765, В 2м/с, -2, 763, В 2м/с

20-11-2010, +1, 755, ЮЗ 2м/с, 0, 755, ЮЗ 2м/с

21-11-2010, -5, 758, В 3м/с, -7, 757, В 3м/с

22-11-2010, -4, 752, Ю 2м/с, -2, 750, Ю 2м/с

23-11-2010, 0, 749, Ш, 0, 749, Ш

24-11-2010, +2, 749, Ю 2м/с, 0, 749, Ю 2м/с

25-11-2010, +8, 743, ЮЗ 3м/с, +7, 744, ЮЗ 3м/с

26-11-2010, +3, 744, З 3м/с, +1, 747, З 3м/с

27-11-2010, -1, 746, В 3м/с, 0, 742, В 3м/с

28-11-2010, -1, 740, СЗ 4м/с, -1, 743, СЗ 4м/с

29-11-2010, -2, 752, З 2м/с, -4, 752, З 2м/с

30-11-2010, +1, 728, В 4м/с, -2, 726, В 4м/с

1-12-2010, -17, 741, СЗ 4м/с, -21, 746, СЗ 4м/с

2-12-2010, -19, 756, СЗ 1м/с, -21, 761, СЗ 1м/с

3-12-2010, -16, 767, ЮВ 1м/с, -16, 767, ЮВ 1м/с

4-12-2010, -7, 761, ЮВ 4м/с, -4, 758, ЮВ 4м/с

5-12-2010, -2, 752, Ю 1м/с, 0, 750, Ю 1м/с

6-12-2010, 0, 745, ЮВ 2м/с, +1, 745, ЮВ 2м/с

7-12-2010, -6, 753, Ш, -5, 754, Ш

8-12-2010, -4, 753, Ю 2м/с, -4, 752, Ю 2м/с

9-12-2010, -1, 750, ЮВ 1м/с, -1, 750, ЮВ 1м/с

10-12-2010, 0, 747, В 3м/с, 0, 746, В 3м/с

11-12-2010, +2, 746, В 4м/с, 0, 748, В 4м/с

12-12-2010, -3, 749, В 3м/с, -4, 749, В 3м/с

13-12-2010, -3, 746, В 4м/с, -3, 745, В 4м/с

14-12-2010, -2, 745, ЮВ 2м/с, -2, 746, ЮВ 2м/с

15-12-2010, -3, 749, ЮЗ 2м/с, -2, 749, ЮЗ 2м/с

16-12-2010, -5, 751, ЮЗ 5м/с, -5, 751, ЮЗ 5м/с

17-12-2010, -4, 751, Ш, -9, 752, Ш

18-12-2010, -11, 752, СВ 1м/с, -12, 752, СВ 1м/с

19-12-2010, -11, 755, В 2м/с, -13, 755, В 2м/с

20-12-2010, -12, 754, ЮВ 4м/с, -10, 754, ЮВ 4м/с

21-12-2010, -5, 756, В 3м/с, -3, 752, В 3м/с

22-12-2010, -2, 753, Ш, -4, 753, Ш

23-12-2010, -5, 751, Ш, -8, 751, Ш

24-12-2010, -10, 757, В 1м/с, -11, 755, В 1м/с

25-12-2010, -2, 750, Ш, +1, 749, Ш

26-12-2010, +2, 749, ЮВ 1м/с, 0, 751, ЮВ 1м/с

27-12-2010, +3, 749, Ю 1м/с, +3, 749, Ю 1м/с

28-12-2010, +1, 752, Ш, -4, 755, Ш

29-12-2010, -5, 760, В 2м/с, -6, 761, В 2м/с

30-12-2010, +1, 761, В 5м/с, -1, 760, В 5м/с

31-12-2010, -2, 756, ЮВ 3м/с, -3, 756, ЮВ 3м/с

