1-1-2009, -10, 747, Ю 2м/с, -12, 744, Ю 2м/с
19-3-2009, +1, 756, Ш, -3, 756, Ш

20-3-2009, +2, 753, З 1м/с, -3, 753, З 1м/с

21-3-2009, +3, 745, Ю 2м/с, -1, 742, Ю 2м/с

22-3-2009, +1, 727, Ю 3м/с, 0, 731, Ю 3м/с

23-3-2009, -1, 737, ЮЗ 3м/с, -5, 741, ЮЗ 3м/с

24-3-2009, -1, 744, В 3м/с, -3, 741, В 3м/с

25-3-2009, +5, 741, СЗ 1м/с, -1, 743, СЗ 1м/с

26-3-2009, +7, 743, В 2м/с, +4, 744, В 2м/с

27-3-2009, +3, 750, Ш, +1, 751, Ш

28-3-2009, +12, 754, ЮВ 1м/с, +8, 755, ЮВ 1м/с

29-3-2009, +11, 759, ЮВ 1м/с, +9, 759, ЮВ 1м/с

30-3-2009, +16, 761, ЮВ 1м/с, +11, 759, ЮВ 1м/с

31-3-2009, +16, 756, ЮЗ 4м/с, +11, 756, ЮЗ 4м/с

1-4-2009, +16, 749, ЮЗ 4м/с, +12, 747, ЮЗ 4м/с

2-4-2009, +6, 741, ЮЗ 2м/с, +3, 740, ЮЗ 2м/с

3-4-2009, +1, 741, СЗ 4м/с, 0, 743, СЗ 4м/с

4-4-2009, +1, 740, СВ 1м/с, 0, 742, СВ 1м/с

5-4-2009, +2, 747, СЗ 3м/с, -1, 748, СЗ 3м/с

6-4-2009, +4, 747, ЮЗ 1м/с, +2, 746, ЮЗ 1м/с

7-4-2009, +4, 738, З 4м/с, +1, 744, З 4м/с

8-4-2009, +1, 751, СЗ 3м/с, -2, 753, СЗ 3м/с

9-4-2009, 0, 755, С 3м/с, -2, 756, С 3м/с

10-4-2009, +2, 755, С 4м/с, -1, 756, С 4м/с

11-4-2009, +6, 753, С 5м/с, +2, 754, С 5м/с

12-4-2009, +7, 755, СЗ 3м/с, +3, 756, СЗ 3м/с

13-4-2009, +9, 752, СЗ 2м/с, +5, 751, СЗ 2м/с

14-4-2009, +9, 751, Ю 1м/с, +6, 750, Ю 1м/с

15-4-2009, +12, 750, Ю 3м/с, +8, 749, Ю 3м/с

16-4-2009, +14, 748, ЮЗ 4м/с, +10, 747, ЮЗ 4м/с

17-4-2009, +3, 750, СВ 3м/с, 0, 750, СВ 3м/с

18-4-2009, +16, 742, Ю 7м/с, +14, 741, Ю 7м/с

19-4-2009, +2, 741, Ш, +2, 741, Ш

20-4-2009, +3, 738, С 3м/с, +1, 740, С 3м/с

21-4-2009, +4, 738, СЗ 2м/с, 0, 738, СЗ 2м/с

22-4-2009, 0, 742, З 2м/с, -2, 744, З 2м/с

23-4-2009, +4, 744, З 3м/с, +3, 746, З 3м/с

24-4-2009, +9, 750, ЮЗ 2м/с, +7, 749, ЮЗ 2м/с

25-4-2009, +8, 749, С 4м/с, +7, 749, С 4м/с

26-4-2009, +10, 750, СЗ 2м/с, +6, 752, СЗ 2м/с

27-4-2009, +21, 747, З 3м/с, +15, 747, З 3м/с

28-4-2009, +23, 750, З 2м/с, +19, 749, З 2м/с

29-4-2009, +24, 746, ЮЗ 5м/с, +17, 745, ЮЗ 5м/с

30-4-2009, +26, 743, ЮЗ 2м/с, +20, 742, ЮЗ 2м/с

1-5-2009, +12, 743, С 3м/с, +6, 745, С 3м/с

2-5-2009, +13, 749, С 3м/с, +10, 750, С 3м/с

3-5-2009, +19, 749, СЗ 3м/с, +13, 750, СЗ 3м/с

4-5-2009, +21, 749, ЮЗ 4м/с, +18, 750, ЮЗ 4м/с

5-5-2009, +24, 749, ЮЗ 2м/с, +17, 750, ЮЗ 2м/с

6-5-2009, +23, 750, Ю 2м/с, +19, 749, Ю 2м/с

7-5-2009, +22, 745, ЮВ 4м/с, +18, 744, ЮВ 4м/с

8-5-2009, +25, 743, В 1м/с, +18, 744, В 1м/с

9-5-2009, +20, 743, В 3м/с, +16, 744, В 3м/с

10-5-2009, +24, 747, С 2м/с, +17, 750, С 2м/с

11-5-2009, +24, 750, З 3м/с, +16, 750, З 3м/с

12-5-2009, +21, 750, ЮВ 1м/с, +15, 750, ЮВ 1м/с

13-5-2009, +21, 744, В 2м/с, +15, 743, В 2м/с

14-5-2009, +19, 743, ЮЗ 2м/с, +15, 744, ЮЗ 2м/с

15-5-2009, +15, 744, З 3м/с, +11, 744, З 3м/с

16-5-2009, +12, 743, З 3м/с, +9, 743, З 3м/с

17-5-2009, +10, 747, З 2м/с, +8, 748, З 2м/с

18-5-2009, +11, 750, ЮЗ 2м/с, +9, 749, ЮЗ 2м/с

19-5-2009, +12, 746, СЗ 3м/с, +11, 745, СЗ 3м/с

20-5-2009, +19, 747, С 3м/с, +14, 748, С 3м/с

21-5-2009, +16, 747, З 4м/с, +11, 747, З 4м/с

22-5-2009, +16, 751, С 2м/с, +10, 753, С 2м/с

23-5-2009, +17, 751, Ю 2м/с, +14, 750, Ю 2м/с

24-5-2009, +23, 744, Ю 4м/с, +17, 744, Ю 4м/с

25-5-2009, +11, 738, ЮВ 4м/с, +13, 741, ЮВ 4м/с

26-5-2009, +18, 743, ЮЗ 2м/с, +13, 744, ЮЗ 2м/с

27-5-2009, +22, 747, С 2м/с, +17, 749, С 2м/с

28-5-2009, +24, 751, ЮЗ 1м/с, +16, 752, ЮЗ 1м/с

29-5-2009, +25, 753, В 2м/с, +22, 753, В 2м/с

30-5-2009, +28, 750, СЗ 2м/с, +22, 750, СЗ 2м/с

31-5-2009, +23, 749, С 4м/с, +18, 750, С 4м/с

1-6-2009, +22, 751, С 3м/с, +19, 749, С 3м/с

2-6-2009, +27, 746, З 4м/с, +23, 745, З 4м/с

3-6-2009, +28, 746, ЮЗ 5м/с, +24, 745, ЮЗ 5м/с

4-6-2009, +30, 744, Ю 5м/с, +26, 744, Ю 5м/с

5-6-2009, +26, 745, СЗ 2м/с, +24, 745, СЗ 2м/с

6-6-2009, +28, 743, С 2м/с, +22, 744, С 2м/с

7-6-2009, +24, 747, З 2м/с, +16, 750, З 2м/с

8-6-2009, +25, 751, ЮЗ 3м/с, +25, 751, ЮЗ 3м/с

9-6-2009, +30, 752, З 2м/с, +19, 753, З 2м/с

10-6-2009, +26, 754, СЗ 2м/с, +19, 756, СЗ 2м/с

11-6-2009, +28, 753, З 2м/с, +28, 753, З 2м/с

12-6-2009, +31, 752, Ш, +27, 752, Ш

13-6-2009, +35, 750, В 2м/с, +26, 750, В 2м/с

14-6-2009, +35, 750, З 2м/с, +29, 750, З 2м/с

15-6-2009, +36, 748, ЮВ 2м/с, +26, 748, ЮВ 2м/с

16-6-2009, +34, 747, В 3м/с, +24, 748, В 3м/с

17-6-2009, +29, 750, З 3м/с, +24, 750, З 3м/с

18-6-2009, +28, 747, Ю 2м/с, +21, 747, Ю 2м/с

19-6-2009, +19, 749, СЗ 3м/с, +17, 750, СЗ 3м/с

20-6-2009, +23, 752, З 2м/с, +20, 751, З 2м/с

21-6-2009, +30, 752, ЮЗ 2м/с, +23, 752, ЮЗ 2м/с

22-6-2009, +31, 753, З 1м/с, +24, 753, З 1м/с

23-6-2009, +27, 753, В 2м/с, +20, 754, В 2м/с

24-6-2009, +23, 754, СВ 2м/с, +20, 754, СВ 2м/с

25-6-2009, +23, 754, В 2м/с, +20, 753, В 2м/с

26-6-2009, +26, 753, С 3м/с, +20, 753, С 3м/с

27-6-2009, +25, 755, СВ 2м/с, +20, 756, СВ 2м/с

28-6-2009, +27, 754, З 3м/с, +21, 753, З 3м/с

29-6-2009, +28, 747, З 5м/с, +20, 747, З 5м/с

30-6-2009, +21, 751, С 2м/с, +15, 753, С 2м/с

1-7-2009, +20, 752, СЗ 3м/с, +16, 752, СЗ 3м/с

2-7-2009, +24, 747, СЗ 3м/с, +19, 744, СЗ 3м/с

3-7-2009, +25, 737, З 4м/с, +16, 737, З 4м/с

4-7-2009, +20, 728, В 2м/с, +16, 733, В 2м/с

5-7-2009, +18, 737, СЗ 2м/с, +14, 738, СЗ 2м/с

6-7-2009, +18, 737, В 1м/с, +15, 736, В 1м/с

7-7-2009, +14, 738, З 3м/с, +12, 742, З 3м/с

8-7-2009, +22, 748, СЗ 4м/с, +16, 750, СЗ 4м/с

9-7-2009, +25, 749, ЮЗ 2м/с, +18, 748, ЮЗ 2м/с

10-7-2009, +21, 747, Ш, +19, 747, Ш

11-7-2009, +28, 747, СЗ 1м/с, +22, 747, СЗ 1м/с

12-7-2009, +29, 748, СВ 2м/с, +24, 748, СВ 2м/с

13-7-2009, +29, 748, З 2м/с, +25, 747, З 2м/с

14-7-2009, +31, 748, В 2м/с, +25, 748, В 2м/с

15-7-2009, +32, 748, С 2м/с, +27, 749, С 2м/с

16-7-2009, +29, 749, С 2м/с, +23, 750, С 2м/с

17-7-2009, +29, 749, З 1м/с, +23, 747, З 1м/с

18-7-2009, +31, 745, З 3м/с, +25, 746, З 3м/с

19-7-2009, +31, 745, СЗ 2м/с, +24, 745, СЗ 2м/с

20-7-2009, +30, 746, С 3м/с, +24, 746, С 3м/с

21-7-2009, +31, 747, В 2м/с, +27, 746, В 2м/с

22-7-2009, +27, 742, СВ 2м/с, +23, 743, СВ 2м/с

23-7-2009, +20, 746, З 1м/с, +19, 746, З 1м/с

24-7-2009, +26, 747, ЮЗ 4м/с, +19, 747, ЮЗ 4м/с

25-7-2009, +27, 746, З 2м/с, +22, 745, З 2м/с

26-7-2009, +30, 745, СЗ 2м/с, +25, 745, СЗ 2м/с

27-7-2009, +30, 746, Ю 2м/с, +26, 747, Ю 2м/с

28-7-2009, +30, 747, ЮВ 1м/с, +23, 746, ЮВ 1м/с

29-7-2009, +33, 745, СВ 1м/с, +28, 746, СВ 1м/с

30-7-2009, +29, 745, ЮЗ 1м/с, +24, 744, ЮЗ 1м/с

31-7-2009, +24, 742, В 1м/с, +21, 742, В 1м/с

1-8-2009, +27, 743, СЗ 2м/с, +22, 744, СЗ 2м/с

2-8-2009, +25, 746, СВ 2м/с, +20, 746, СВ 2м/с

3-8-2009, +26, 747, З 1м/с, +19, 747, З 1м/с

4-8-2009, +29, 746, З 2м/с, +23, 744, З 2м/с

5-8-2009, +24, 741, СВ 1м/с, +19, 740, СВ 1м/с

6-8-2009, +20, 742, С 4м/с, +14, 745, С 4м/с

7-8-2009, +19, 745, С 3м/с, +16, 746, С 3м/с

8-8-2009, +16, 746, СЗ 1м/с, +14, 747, СЗ 1м/с

9-8-2009, +16, 747, З 1м/с, +12, 749, З 1м/с

10-8-2009, +20, 747, З 2м/с, +18, 747, З 2м/с

11-8-2009, +25, 748, З 2м/с, +20, 749, З 2м/с

12-8-2009, +28, 750, В 1м/с, +22, 750, В 1м/с

13-8-2009, +21, 749, ЮВ 1м/с, +18, 747, ЮВ 1м/с

14-8-2009, +19, 744, З 3м/с, +20, 744, З 3м/с

15-8-2009, +23, 745, З 4м/с, +19, 744, З 4м/с

16-8-2009, +23, 744, З 3м/с, +16, 745, З 3м/с

17-8-2009, +23, 747, З 3м/с, +19, 748, З 3м/с

18-8-2009, +29, 748, ЮЗ 4м/с, +20, 748, ЮЗ 4м/с

19-8-2009, +31, 748, З 1м/с, +26, 748, З 1м/с

20-8-2009, +25, 747, Ю 2м/с, +18, 747, Ю 2м/с

21-8-2009, +25, 743, С 2м/с, +19, 741, С 2м/с

22-8-2009, +15, 745, В 1м/с, +15, 745, В 1м/с

23-8-2009, +20, 742, ЮЗ 2м/с, +15, 742, ЮЗ 2м/с

24-8-2009, +20, 746, С 2м/с, +15, 748, С 2м/с

25-8-2009, +21, 747, С 2м/с, +14, 747, С 2м/с

26-8-2009, +22, 744, З 2м/с, +17, 745, З 2м/с

27-8-2009, +23, 746, С 2м/с, +17, 747, С 2м/с

28-8-2009, +21, 747, З 1м/с, +16, 747, З 1м/с

29-8-2009, +23, 745, З 2м/с, +19, 744, З 2м/с

30-8-2009, +21, 747, СЗ 1м/с, +17, 748, СЗ 1м/с

31-8-2009, +23, 751, СВ 2м/с, +17, 753, СВ 2м/с

1-9-2009, +23, 757, В 1м/с, +16, 758, В 1м/с

2-9-2009, +26, 756, С 1м/с, +16, 756, С 1м/с

3-9-2009, +27, 756, З 2м/с, +19, 756, З 2м/с

4-9-2009, +27, 756, В 2м/с, +22, 756, В 2м/с

5-9-2009, +26, 755, В 2м/с, +22, 755, В 2м/с

6-9-2009, +28, 755, В 1м/с, +23, 756, В 1м/с

7-9-2009, +28, 757, В 2м/с, +18, 758, В 2м/с

8-9-2009, +28, 758, З 1м/с, +18, 759, З 1м/с

9-9-2009, +26, 757, СЗ 2м/с, +18, 756, СЗ 2м/с

10-9-2009, +19, 752, СЗ 3м/с, +17, 751, СЗ 3м/с

11-9-2009, +24, 749, Ш, +21, 750, Ш

12-9-2009, +21, 749, В 1м/с, +17, 750, В 1м/с

13-9-2009, +21, 750, СВ 2м/с, +19, 750, СВ 2м/с

14-9-2009, +25, 750, В 1м/с, +20, 751, В 1м/с

15-9-2009, +21, 750, С 1м/с, +15, 751, С 1м/с

16-9-2009, +17, 752, С 2м/с, +13, 753, С 2м/с

17-9-2009, +17, 753, ЮВ 1м/с, +15, 750, ЮВ 1м/с

18-9-2009, +15, 747, Ю 2м/с, +15, 746, Ю 2м/с

19-9-2009, +13, 747, В 1м/с, +7, 748, В 1м/с

20-9-2009, +14, 750, СЗ 3м/с, +6, 750, СЗ 3м/с

21-9-2009, +14, 753, Ш, +8, 752, Ш

22-9-2009, +18, 749, ЮЗ 3м/с, +16, 749, ЮЗ 3м/с

23-9-2009, +18, 744, ЮЗ 2м/с, +13, 744, ЮЗ 2м/с

24-9-2009, +17, 741, З 2м/с, +16, 741, З 2м/с

25-9-2009, +13, 744, Ю 1м/с, +9, 744, Ю 1м/с

26-9-2009, +13, 744, Ш, +10, 747, Ш

27-9-2009, +17, 751, З 2м/с, +10, 752, З 2м/с

28-9-2009, +15, 750, ЮЗ 2м/с, +14, 749, ЮЗ 2м/с

29-9-2009, +13, 747, ЮЗ 3м/с, +16, 744, ЮЗ 3м/с

30-9-2009, +13, 741, В 2м/с, +13, 741, В 2м/с

1-10-2009, +9, 744, С 2м/с, +4, 747, С 2м/с

2-10-2009, +12, 746, Ю 5м/с, +11, 744, Ю 5м/с

3-10-2009, +11, 748, ЮЗ 3м/с, +7, 749, ЮЗ 3м/с

4-10-2009, +12, 753, С 1м/с, +8, 754, С 1м/с

5-10-2009, +11, 748, Ю 2м/с, +8, 744, Ю 2м/с

6-10-2009, +12, 744, З 5м/с, +7, 746, З 5м/с

7-10-2009, +8, 752, СЗ 2м/с, +7, 754, СЗ 2м/с

8-10-2009, +11, 754, ЮЗ 3м/с, +11, 753, ЮЗ 3м/с

9-10-2009, +17, 749, ЮЗ 6м/с, +12, 747, ЮЗ 6м/с

10-10-2009, +9, 751, СЗ 3м/с, +2, 755, СЗ 3м/с

11-10-2009, +10, 757, З 2м/с, +4, 758, З 2м/с

12-10-2009, +10, 756, ЮВ 3м/с, +6, 756, ЮВ 3м/с

13-10-2009, +18, 753, Ю 2м/с, +13, 753, Ю 2м/с

14-10-2009, +20, 754, ЮВ 2м/с, +14, 755, ЮВ 2м/с

15-10-2009, +19, 757, Ю 2м/с, +13, 758, Ю 2м/с

16-10-2009, +17, 758, З 1м/с, +14, 759, З 1м/с

17-10-2009, +18, 756, Ю 2м/с, +13, 756, Ю 2м/с

18-10-2009, +18, 756, Ю 1м/с, +15, 757, Ю 1м/с

19-10-2009, +21, 756, Ю 2м/с, +17, 756, Ю 2м/с

20-10-2009, +17, 756, З 1м/с, +10, 756, З 1м/с

21-10-2009, +10, 757, СВ 1м/с, +8, 758, СВ 1м/с

22-10-2009, +11, 760, В 2м/с, +5, 763, В 2м/с

23-10-2009, +7, 759, В 2м/с, +6, 756, В 2м/с

24-10-2009, +6, 749, Ш, +7, 747, Ш

25-10-2009, +3, 753, С 4м/с, -1, 758, С 4м/с

26-10-2009, +2, 762, Ш, -2, 762, Ш

27-10-2009, +3, 757, ЮЗ 2м/с, +2, 755, ЮЗ 2м/с

28-10-2009, +6, 751, Ю 3м/с, +2, 750, Ю 3м/с

29-10-2009, +3, 743, ЮВ 2м/с, +4, 742, ЮВ 2м/с

30-10-2009, +6, 742, ЮЗ 3м/с, +3, 744, ЮЗ 3м/с

31-10-2009, +1, 749, З 3м/с, 0, 750, З 3м/с

1-11-2009, 0, 750, З 3м/с, -2, 751, З 3м/с

2-11-2009, -1, 753, СВ 2м/с, -3, 754, СВ 2м/с

3-11-2009, -3, 754, С 2м/с, -6, 754, С 2м/с

4-11-2009, -4, 754, СВ 2м/с, -3, 754, СВ 2м/с

5-11-2009, -3, 757, СВ 1м/с, -2, 759, СВ 1м/с

6-11-2009, 0, 761, СВ 1м/с, 0, 762, СВ 1м/с

7-11-2009, -3, 763, В 1м/с, -3, 764, В 1м/с

8-11-2009, -1, 765, С 2м/с, -2, 765, С 2м/с

9-11-2009, -1, 760, ЮЗ 3м/с, -1, 759, ЮЗ 3м/с

10-11-2009, +1, 759, Ш, +1, 759, Ш

11-11-2009, 0, 759, В 2м/с, -1, 758, В 2м/с

12-11-2009, +3, 758, ЮВ 2м/с, 0, 759, ЮВ 2м/с

13-11-2009, +4, 761, В 3м/с, 0, 764, В 3м/с

14-11-2009, +2, 764, В 3м/с, 0, 765, В 3м/с

15-11-2009, +1, 762, В 2м/с, -2, 762, В 2м/с

16-11-2009, +1, 759, В 3м/с, -1, 759, В 3м/с

17-11-2009, 0, 757, В 4м/с, -2, 757, В 4м/с

18-11-2009, -1, 757, Ш, -2, 756, Ш

19-11-2009, 0, 750, ЮВ 2м/с, +1, 749, ЮВ 2м/с

20-11-2009, +1, 747, В 1м/с, +1, 746, В 1м/с

21-11-2009, +1, 747, СЗ 1м/с, 0, 746, СЗ 1м/с

22-11-2009, 0, 738, ЮВ 2м/с, 0, 737, ЮВ 2м/с

23-11-2009, +1, 744, Ш, +1, 747, Ш

24-11-2009, +1, 750, ЮЗ 2м/с, +1, 748, ЮЗ 2м/с

25-11-2009, +3, 747, Ю 2м/с, +2, 746, Ю 2м/с

26-11-2009, +3, 745, Ю 1м/с, +3, 747, Ю 1м/с

27-11-2009, +4, 748, ЮЗ 2м/с, +4, 749, ЮЗ 2м/с

28-11-2009, +5, 751, ЮЗ 1м/с, +5, 753, ЮЗ 1м/с

29-11-2009, +7, 752, ЮЗ 2м/с, +5, 752, ЮЗ 2м/с

30-11-2009, +3, 753, Ю 2м/с, +4, 753, Ю 2м/с

1-12-2009, +3, 758, СЗ 1м/с, +1, 761, СЗ 1м/с

2-12-2009, +1, 762, Ю 2м/с, +1, 761, Ю 2м/с

3-12-2009, +1, 755, З 4м/с, +1, 753, З 4м/с

4-12-2009, 0, 752, З 3м/с, 0, 753, З 3м/с

5-12-2009, -3, 759, СВ 3м/с, -5, 759, СВ 3м/с

6-12-2009, -8, 763, С 1м/с, -12, 765, С 1м/с

7-12-2009, -12, 766, В 2м/с, -12, 766, В 2м/с

8-12-2009, -9, 765, З 3м/с, -10, 764, З 3м/с

9-12-2009, -8, 760, З 3м/с, -9, 759, З 3м/с

10-12-2009, -7, 761, Ш, -9, 762, Ш

11-12-2009, -10, 762, В 1м/с, -12, 761, В 1м/с

12-12-2009, -10, 758, В 2м/с, -10, 756, В 2м/с

13-12-2009, -9, 747, В 1м/с, -9, 744, В 1м/с

14-12-2009, -11, 747, С 1м/с, -19, 750, С 1м/с

15-12-2009, -23, 754, С 2м/с, -25, 753, С 2м/с

16-12-2009, -24, 755, СЗ 1м/с, -28, 758, СЗ 1м/с

17-12-2009, -25, 761, Ш, -26, 761, Ш

18-12-2009, -22, 755, Ш, -20, 753, Ш

19-12-2009, -13, 751, СВ 2м/с, -16, 752, СВ 2м/с

20-12-2009, -15, 755, СВ 1м/с, -16, 756, СВ 1м/с

21-12-2009, -11, 755, В 3м/с, -8, 753, В 3м/с

22-12-2009, -7, 753, ЮВ 1м/с, -6, 756, ЮВ 1м/с

23-12-2009, -12, 764, Ш, -14, 764, Ш

24-12-2009, -9, 761, Ю 3м/с, -8, 759, Ю 3м/с

25-12-2009, -4, 756, Ю 3м/с, -4, 755, Ю 3м/с

26-12-2009, -3, 752, Ш, -3, 750, Ш

27-12-2009, -2, 740, ЮВ 5м/с, -1, 737, ЮВ 5м/с

28-12-2009, +1, 744, ЮЗ 4м/с, -1, 753, ЮЗ 4м/с

29-12-2009, -2, 742, В 2м/с, 0, 739, В 2м/с

30-12-2009, -2, 741, ЮВ 2м/с, -1, 741, ЮВ 2м/с

31-12-2009, -2, 746, ЮВ 2м/с, -4, 745, ЮВ 2м/с

