01-01-2014, 0, 759, З 1м/с, -1, 759, З 1м/с
13-08-2014, +28, 748, З 2м/с, +19, 749, З 2м/с
14-08-2014, +26, 748, ЮВ 1м/с, +18, 748, ЮВ 1м/с
15-08-2014, +29, 748, СЗ 1м/с, +26, 745, СЗ 1м/с
16-08-2014, +37, 742, З 2м/с, +33, 740, З 2м/с
17-08-2014, +33, 739, З 2м/с, +25, 741, З 2м/с
18-08-2014, +28, 747, З 2м/с, +25, 747, З 2м/с
19-08-2014, +22, 749, ЮЗ 1м/с, +21, 749, ЮЗ 1м/с
20-08-2014, +23, 747, С 1м/с, +21, 748, С 1м/с
21-08-2014, +22, 748, СЗ 1м/с, +20, 748, СЗ 1м/с
22-08-2014, +27, 746, СЗ 2м/с, +18, 746, СЗ 2м/с
23-08-2014, +27, 746, З 2м/с, +19, 746, З 2м/с
24-08-2014, +23, 750, СВ 2м/с, +18, 751, СВ 2м/с
25-08-2014, +24, 751, В 2м/с, +20, 750, В 2м/с
26-08-2014, +21, 747, В 2м/с, +16, 746, В 2м/с
27-08-2014, +22, 748, СЗ 1м/с, +13, 747, СЗ 1м/с
28-08-2014, +19, 745, СВ 1м/с, +16, 742, СВ 1м/с
29-08-2014, +19, 740, З 6м/с, +15, 744, З 6м/с
30-08-2014, +20, 746, ЮЗ 3м/с, +13, 747, ЮЗ 3м/с
31-08-2014, +17, 749, З 3м/с, +12, 751, З 3м/с
01-09-2014, +20, 755, СЗ 2м/с, +15, 756, СЗ 2м/с
02-09-2014, +20, 757, С 2м/с, +16, 757, С 2м/с
03-09-2014, +23, 754, СЗ 1м/с, +19, 752, СЗ 1м/с
04-09-2014, +19, 750, СЗ 2м/с, +15, 750, СЗ 2м/с
05-09-2014, +19, 751, С 1м/с, +10, 751, С 1м/с
06-09-2014, +22, 749, СЗ 2м/с, +12, 749, СЗ 2м/с
07-09-2014, +22, 750, СЗ 1м/с, +13, 751, СЗ 1м/с
08-09-2014, +19, 753, СВ 2м/с, +14, 754, СВ 2м/с
09-09-2014, +18, 755, В 1м/с, +13, 755, В 1м/с
10-09-2014, +21, 756, В 1м/с, +15, 757, В 1м/с
11-09-2014, +21, 758, В 2м/с, +17, 758, В 2м/с
12-09-2014, +25, 757, З 1м/с, +17, 756, З 1м/с
13-09-2014, +23, 754, З 2м/с, +11, 753, З 2м/с
14-09-2014, +24, 752, З 2м/с, +18, 752, З 2м/с
15-09-2014, +22, 751, З 1м/с, +14, 750, З 1м/с
16-09-2014, +13, 748, СЗ 4м/с, +7, 751, СЗ 4м/с
17-09-2014, +9, 753, СЗ 3м/с, +7, 753, СЗ 3м/с
18-09-2014, +9, 757, СЗ 2м/с, +7, 759, СЗ 2м/с
19-09-2014, +14, 760, ЮЗ 3м/с, +6, 759, ЮЗ 3м/с
20-09-2014, +17, 756, ЮЗ 2м/с, +7, 756, ЮЗ 2м/с
21-09-2014, +20, 754, З 2м/с, +10, 754, З 2м/с
22-09-2014, +20, 752, ЮВ 1м/с, +10, 752, ЮВ 1м/с
23-09-2014, +17, 749, В 2м/с, +14, 747, В 2м/с
24-09-2014, +24, 743, В 2м/с, +17, 743, В 2м/с
25-09-2014, +16, 745, Ш, +13, 746, Ш
26-09-2014, +17, 749, СЗ 1м/с, +14, 750, СЗ 1м/с
27-09-2014, +19, 750, ЮВ 1м/с, +15, 749, ЮВ 1м/с
28-09-2014, +18, 748, З 2м/с, +13, 749, З 2м/с
29-09-2014, +16, 749, СЗ 1м/с, +11, 749, СЗ 1м/с
30-09-2014, +14, 744, З 2м/с, +12, 741, З 2м/с
01-10-2014, +8, 743, З 3м/с, +6, 744, З 3м/с
02-10-2014, +3, 747, СЗ 3м/с, +4, 748, СЗ 3м/с
03-10-2014, +6, 749, СЗ 3м/с, +2, 749, СЗ 3м/с
04-10-2014, +9, 747, СЗ 2м/с, +3, 749, СЗ 2м/с
05-10-2014, +6, 755, С 1м/с, +3, 757, С 1м/с
06-10-2014, +6, 761, СЗ 1м/с, +5, 761, СЗ 1м/с
07-10-2014, +8, 761, СЗ 3м/с, +4, 760, СЗ 3м/с
08-10-2014, +4, 762, СЗ 2м/с, +3, 762, СЗ 2м/с
09-10-2014, +9, 761, З 2м/с, +5, 760, З 2м/с
10-10-2014, +13, 756, З 4м/с, +12, 755, З 4м/с
11-10-2014, +19, 749, З 4м/с, +14, 751, З 4м/с
12-10-2014, +15, 752, З 2м/с, +9, 752, З 2м/с
13-10-2014, +19, 748, З 3м/с, +15, 747, З 3м/с
14-10-2014, +15, 747, СЗ 2м/с, +11, 749, СЗ 2м/с
15-10-2014, +13, 749, З 2м/с, +12, 748, З 2м/с
16-10-2014, +17, 743, ЮЗ 3м/с, +13, 744, ЮЗ 3м/с
17-10-2014, +17, 738, ЮВ 1м/с, +14, 736, ЮВ 1м/с
18-10-2014, +2, 739, СЗ 2м/с, 0, 740, СЗ 2м/с
19-10-2014, -2, 745, СЗ 3м/с, -4, 748, СЗ 3м/с
20-10-2014, -1, 745, Ю 2м/с, -2, 740, Ю 2м/с
21-10-2014, +3, 737, В 2м/с, +4, 735, В 2м/с
22-10-2014, +1, 738, З 3м/с, -4, 742, З 3м/с
23-10-2014, -6, 748, З 4м/с, -9, 750, З 4м/с
24-10-2014, -6, 755, СЗ 3м/с, -7, 756, СЗ 3м/с
25-10-2014, -5, 758, С 2м/с, -6, 759, С 2м/с
26-10-2014, -5, 764, СЗ 2м/с, -5, 764, СЗ 2м/с
27-10-2014, +2, 762, З 3м/с, +1, 761, З 3м/с
28-10-2014, +3, 756, З 4м/с, +3, 755, З 4м/с
29-10-2014, +7, 755, З 2м/с, +5, 756, З 2м/с
30-10-2014, +7, 757, Ю 1м/с, +6, 756, Ю 1м/с
31-10-2014, +8, 752, ЮЗ 3м/с, +6, 751, ЮЗ 3м/с
01-11-2014, +4, 745, Ш, +2, 744, Ш
02-11-2014, +2, 745, СВ 3м/с, +1, 746, СВ 3м/с
03-11-2014, +4, 750, СВ 1м/с, +2, 752, СВ 1м/с
04-11-2014, -1, 753, С 1м/с, -2, 752, С 1м/с
05-11-2014, +4, 751, ЮЗ 1м/с, +2, 751, ЮЗ 1м/с
06-11-2014, +1, 753, СЗ 1м/с, 0, 754, СЗ 1м/с
07-11-2014, +4, 755, З 1м/с, +3, 756, З 1м/с
08-11-2014, +4, 755, ЮЗ 2м/с, +5, 755, ЮЗ 2м/с
09-11-2014, +4, 757, ЮЗ 2м/с, +5, 758, ЮЗ 2м/с
10-11-2014, +6, 759, З 2м/с, +4, 763, З 2м/с
11-11-2014, +2, 766, З 1м/с, +2, 766, З 1м/с
12-11-2014, +4, 761, ЮЗ 2м/с, +3, 760, ЮЗ 2м/с
13-11-2014, +5, 759, З 2м/с, +2, 759, З 2м/с
14-11-2014, +2, 759, СЗ 1м/с, +2, 760, СЗ 1м/с
15-11-2014, -1, 759, СЗ 1м/с, -4, 759, СЗ 1м/с
16-11-2014, -8, 762, С 1м/с, -9, 763, С 1м/с
17-11-2014, -6, 765, Ш, -9, 765, Ш
18-11-2014, -6, 766, З 2м/с, -9, 766, З 2м/с
19-11-2014, -6, 765, З 2м/с, -8, 771, З 2м/с
20-11-2014, -4, 762, С 1м/с, -3, 762, С 1м/с
21-11-2014, -1, 762, СЗ 1м/с, -1, 762, СЗ 1м/с
22-11-2014, -1, 757, З 2м/с, -4, 755, З 2м/с
23-11-2014, -3, 756, С 2м/с, -8, 761, С 2м/с
24-11-2014, -11, 770, ЮВ 1м/с, -13, 770, ЮВ 1м/с
25-11-2014, -7, 767, З 3м/с, -10, 766, З 3м/с
26-11-2014, -7, 760, З 3м/с, -9, 759, З 3м/с
27-11-2014, -8, 763, Ю 1м/с, -8, 763, Ю 1м/с
28-11-2014, -8, 766, В 1м/с, -8, 766, В 1м/с
29-11-2014, -5, 765, СВ 1м/с, -5, 764, СВ 1м/с
30-11-2014, -7, 759, В 1м/с, -9, 758, В 1м/с
01-12-2014, -7, 753, З 2м/с, -7, 752, З 2м/с
02-12-2014, -13, 754, С 1м/с, -16, 756, С 1м/с
03-12-2014, -12, 755, З 4м/с, -9, 750, З 4м/с
04-12-2014, -4, 746, З 4м/с, -3, 744, З 4м/с
05-12-2014, -4, 752, СЗ 2м/с, -12, 756, СЗ 2м/с
06-12-2014, -11, 765, З 1м/с, -11, 764, З 1м/с
07-12-2014, -4, 762, З 5м/с, -8, 764, З 5м/с
08-12-2014, -11, 764, В 3м/с, -11, 763, В 3м/с
09-12-2014, -9, 763, ЮВ 2м/с, -8, 763, ЮВ 2м/с
10-12-2014, -3, 762, ЮЗ 1м/с, -5, 761, ЮЗ 1м/с
11-12-2014, -7, 758, В 2м/с, -6, 758, В 2м/с
12-12-2014, -5, 755, ЮВ 2м/с, -1, 754, ЮВ 2м/с
13-12-2014, -5, 752, В 2м/с, -3, 752, В 2м/с
14-12-2014, -2, 754, ЮЗ 1м/с, -3, 755, ЮЗ 1м/с
15-12-2014, -3, 757, Ш, -2, 759, Ш
16-12-2014, -3, 759, ЮВ 1м/с, -4, 760, ЮВ 1м/с
17-12-2014, -7, 759, ЮВ 1м/с, -6, 758, ЮВ 1м/с
18-12-2014, -5, 752, Ю 2м/с, -4, 751, Ю 2м/с
19-12-2014, -2, 748, З 1м/с, -4, 748, З 1м/с
20-12-2014, -2, 746, Ю 3м/с, -1, 743, Ю 3м/с
21-12-2014, +1, 744, З 3м/с, -1, 745, З 3м/с
22-12-2014, 0, 739, З 1м/с, -1, 740, З 1м/с
23-12-2014, -4, 740, ЮВ 1м/с, -2, 737, ЮВ 1м/с
24-12-2014, 0, 727, ЮЗ 2м/с, -3, 729, ЮЗ 2м/с
25-12-2014, -6, 737, ЮЗ 2м/с, -7, 732, ЮЗ 2м/с
26-12-2014, -11, 744, З 3м/с, -13, 749, З 3м/с
27-12-2014, -13, 756, З 2м/с, -17, 758, З 2м/с
28-12-2014, -9, 750, В 5м/с, -7, 745, В 5м/с
29-12-2014, -9, 742, З 4м/с, -13, 747, З 4м/с
30-12-2014, -12, 746, В 3м/с, -10, 740, В 3м/с
31-12-2014, -15, 751, СЗ 2м/с, -19, 750, СЗ 2м/с
